sentences,labels,lang
神经时间序列数据的多元分类中的高通滤器数据,neuroscience,1
The HIV-1 ribonucleoprotein dynamically regulates its condensate behavior and drives acceleration of protease activity through membraneless granular phase separation,molecular biology,0
Long-term potentiation in neurogliaform cells modulates excitation-inhibition balance in the temporoammonic pathway,neuroscience,0
Individual tree-crown detection in RGB imagery using semi-supervised deep learning neural networks,ecology,0
多运动分析揭示了哺乳动物CIC在细胞周期调节和有丝分裂保真度中的作用,cancer biology,1
与Granger因果关系的网络推断单细胞转录组数据,bioinformatics,1
Multiple sources of Shh are critical for the generation and scaling of ventral spinal cord oligodendrocyte precursor populations.,developmental biology,0
微生物的代谢和阿特里比菌主导的甲烷水合物沉积物的适应,microbiology,1
玉米品种显微镜图像中的气孔分类和检测系统,plant biology,1
标量庞加罗地图，用于在Xenopus Tadpoles中挣扎,neuroscience,1
蛋白质的食欲驱动大量营养素相关的腹侧换段区域神经活动的差异,neuroscience,1
"Dot1L-dependent H3K79 methylation facilitates histone variant H2A.Z exchange at DNA double strand breaks and is required for high fidelity, homology-directed DNA repair",molecular biology,0
Optical measurement of voltage sensing by endogenous ion channel,biophysics,0
疫病：K-Mers有效的精确关联结构,bioinformatics,1
从概念到翻译的细胞流行病学的工作流动,physiology,1
玉米括号根机制因螺纹，基因型和生殖阶段而异,plant biology,1
Urinary glucocorticoids in harbour seal (Phoca vitulina) pups during rehabilitation,zoology,0
The pharmacodynamic inoculum effect from the perspective of bacterial population modeling,pharmacology and toxicology,0
相反的类固醇信号通过秀丽隐杆线虫中脂肪代谢的深刻变化来调节蛋白质稳态,genetics,1
开花基因调节网络采用的基因组暗物质中可转座元件的痕迹。,genomics,1
狂犬病病毒具有不稳定结构域，仅当去除域时，在神经元之间添加了核蛋白扩散,neuroscience,1
动态连接流感病毒感染动力学，肺损伤，炎症和疾病严重程度,systems biology,1
Transcriptomic analysis of human and mouse muscle during hyperinsulinemia demonstrates insulin receptor downregulation as a mechanism for insulin resistance,physiology,1
通过部分蛋白涂层和自由旋转的底座使针对高急性压力的内吞作用变得更容易,biophysics,0
负面影响引起反事实表示的快速学习：一种基于模型的面部表达分析方法,neuroscience,0
传输RNA受体组中的编码三胞胎及其在当前和过去的tRNA识别中的作用,genetics,1
"Internal noise measures in coarse and fine motion direction discrimination tasks, and the correlation with autism traits",neuroscience,1
Polymer brush bilayers under stationary shear motion at linear response regime: A theoretical approach,biophysics,0
What the odor is not: Estimation by elimination,neuroscience,0
CDC14磷酸酶控制减数分裂过程中重组中间体和跨界形成的分辨率,genetics,1
与富含AU的RNA结合的死端的溶液结构揭示了mRNA调节所需的串联RRM-RNA识别的前所未有的模式,molecular biology,0
在黄海保存未受保护的重要沿海栖息地：Lianyungang的海鸟发生，分配和食物资源,ecology,0
Eco-evolutionary dynamics further weakens mutualistic interaction and coexistence under population decline,ecology,1
事件细分显示工作内存遗忘率,neuroscience,1
对Neurospora Crassa中减数分裂沉默的DNA同源性的重组识别的识别,molecular biology,1
Publicly available transcriptomes provide the opportunity for dual RNA-Seq meta analysis in Plasmodium infection,bioinformatics,0
"Common variants associated with OSMR expression contribute to carotid plaque vulnerability, but not to cardiovascular disease in humans",genetics,1
Liver X Receptor; Controls Hepatic Stellate Cell Activation via Hedgehog Signaling,cell biology,0
Balancing selection of the Intracellular Pathogen Response in natural Caenorhabditis elegans populations,genetics,0
候选因果变体既增强的认知表现又增加了双相情感障碍的风险,genetics,1
"PME-1 suppresses anoikis, and is associated with therapy relapse of PTEN-deficient prostate cancers",cancer biology,1
A stable pollination environment limits current but not potential evolution of floral traits,evolutionary biology,1
蛋白质结构没有结构确定：基于体外进化的直接耦合分析,evolutionary biology,1
Variations in Structural MRI Quality Significantly Impact Commonly-Used Measures of Brain Anatomy,neuroscience,1
Rapid neural representations of personally relevant faces,neuroscience,0
Single trial dynamics of attentional intensity in visual area V4,neuroscience,0
"Quantifying Climatic and Socio-Economic Influences on Urban Malaria in Surat, India: A Modelling Study",ecology,0
基因组数据和多物种人口统计模型发现了当前同种异体淡水物种之间的过去杂交,evolutionary biology,0
Effective clustering for single cell sequencing cancer data,cancer biology,1
全球哺乳动物Zooregions揭示了过去人类影响的信号,ecology,0
从整个基因组序列数据中恢复性状遗传力,genetics,1
The PIWI/piRNA response is relaxed in a rodent that lacks mobilizing transposable elements,evolutionary biology,1
哺乳动物线粒体突变光谱是细胞和生物衰老的标志。,genomics,1
"Familiar neighbours, but not relatives, enhance fitness in a territorial mammal",evolutionary biology,1
The degree of polymerization and sulfation patterns in heparan sulfate are critical determinants of cytomegalovirus entry into host cells,microbiology,1
图书馆的准备和测序平台引入了基于元基因组的微生物特征的偏见,microbiology,0
单位分辨率的氨基酸倾斜度变化的系统发育推断,evolutionary biology,0
蛤corbicula中的广泛遗传混合,evolutionary biology,1
Rate-limiting transport of positive charges through the Sec-machinery is integral to the mechanism of protein transport,biochemistry,0
Single cell transcriptomics identifies master regulators of dysfunctional pathways in SOD1 ALS motor neurons,genomics,0
人类原发性皮层的种群接受场，作为DC平衡带通滤波器组织。,neuroscience,1
CRISPR-SID: identifying EZH2 as a druggable target for desmoid tumors via in vivo dependency mapping,cancer biology,0
OpenAnnotate: a web server to annotate the chromatin accessibility of genomic regions,bioinformatics,1
Rapid label-free identification of pathogenic bacteria species from a minute quantity 1 exploiting three-dimensional quantitative phase imaging and artificial neural network,microbiology,1
Quality control of large genome datasets using genome fingerprints,genomics,1
以肿瘤为目标的儿童疫苗通过减毒李斯特菌的抗原减少胰腺癌,immunology,0
Heterologous Cas9 and non-homologous end joining as a Potentially Organism-Agnostic Knockout (POAK) system in bacteria,synthetic biology,0
从生长停滞对照中释放后的杂染色质更新在整个基因组的转录重新激活中，,molecular biology,1
MetaNovo: a probabilistic approach to peptide discovery in complex mass spectrometry datasets,bioinformatics,0
高通量纳米镜检查的集成平台,biophysics,1
亚基间耦合可以通过还原羧酸酶实现快速的二氧化碳固定,biophysics,1
Network science inspires novel tree shape statistics,bioinformatics,1
一套稀有微生物与主导，可遗传的真菌内生菌相互作用，以影响植物特征表达,ecology,0
竞争和多样性的稳定作用决定疫苗对抗生素耐药性演化的影响,evolutionary biology,0
奖励动机增加了单变量活动，但对整个额叶皮层的任务相关信息的编码影响有限,neuroscience,1
参考质粒PHXB2_D是一种HIV-1分子克隆,genomics,0
使用一种新型的小分子抑制剂将转移耦合到pH传感GPR68,cancer biology,0
解开印尼缠结网渔业：描述针对大型威胁射线的数据贫困渔业（batoidea订购）,zoology,1
"On the efficacy of restoration in stream networks: comments, critiques, and prospective recommendations",ecology,1
Integrase-mediated differentiation circuits improve evolutionary stability of burdensome and toxic functions in E. coli,synthetic biology,1
Regulatory network-based imputation of dropouts in single-cell RNA sequencing data,bioinformatics,1
Resistance to aztreonam in combination with non-β-lactam β-lactamase inhibitors due to the layering of mechanisms in Escherichia coli identified following mixed culture selection.,microbiology,0
Attention Decorrelates Sensory and Motor Signals in the Mouse Visual Cortex,neuroscience,1
A developmental framework linking neurogenesis and circuit formation in the Drosophila CNS,neuroscience,1
在最近引入的侵入性蛤的缓慢增长的种群中，与适应性相关的特征最大化：这是对强R-sealection的反应吗？,ecology,0
O-glycosylation regulates plant developmental transitions downstream of miR156,plant biology,1
An Optimized Registration Workflow and Standard Geometric Space for Small Animal Brain Imaging,neuroscience,1
揭示穆勒模仿对颜色模式显着性演变的影响,evolutionary biology,1
"On the cortical mapping function -- visual space, cortical space, and crowding",neuroscience,1
单个项目的记忆与非增强偏好更改有关,neuroscience,1
Predation strategies of the bacterium Bdellovibrio bacteriovorus result in overexploitation and bottlenecks,microbiology,0
在没有生殖隔离的情况下 - 物种形成后的广泛基因流,evolutionary biology,0
trnascan-se 2.0：改进的转移RNA基因的检测和功能分类,bioinformatics,1
The neuronal calcium sensor Synaptotagmin-1 and SNARE proteins cooperate to dilate fusion pores,biophysics,1
Low centrosome numbers correlate with higher aggressivity in ovarian cancer,cancer biology,1
通过刺激的拉曼散射显微镜在组织中蛋白质和脂质质量浓度测量,bioengineering,1
通过抑制回路的动态重新配置，齿状回处理的胆碱能调节,neuroscience,1
与河鱼社区的视觉和捕获调查相比,ecology,1
消费者性二态性的复杂社区范围内的后果,ecology,1
The regenerating skeletal muscle niche guides muscle stem cell self-renewal,cell biology,1
Synthetic design of farnesyl-electrostatic peptides for development of a protein kinase A membrane translocation switch,cell biology,1
First report of marine sponge Chelonaplysilla delicata (Demospongiae: Darwinellidae) from the Andaman Sea/Indian Ocean with a baseline information of epifauna on a mesophotic shipwreck,ecology,1
ZFY和CTCF的定量分析揭示了对串联锌指蛋白的依赖识别。,genetics,1
认知发展过程中的基因体验相关性：青少年脑认知发展（ABCD）StudySM的证据,neuroscience,0
Role of Water-bridged Interactions in Metal Ion Coupled Protein Allostery,biochemistry,0
An automated model reduction tool to guide the design and analysis of synthetic biological circuits,synthetic biology,0
Metacognitive awareness of difficulty in action selection: the role of the cingulo-opercular network,neuroscience,1
"An optimized tissue clearing protocol for rat brain labeling, imaging, and high throughput analysis",neuroscience,0
通过合作的潜在遗传变异提高植物群的生产率,plant biology,0
与关节角度相比，肌肉扭矩提供了势后运动缺陷的敏感度量。,neuroscience,1
流感特异性效应子记忆B细胞预测人类疫苗接种的长寿命抗体反应,immunology,0
Mutators drive evolution of multi-resistance to antibiotics,evolutionary biology,1
A Hessian-based decomposition characterizes how performance in complex motor skills depends on individual strategy and variability,neuroscience,0
比较统计和机械模型，以识别后边缘人群中死亡率的驱动力,ecology,0
解构分类X分类X分类X环境相互作用在微生物群中：理论检查,ecology,1
随机事件的概率的阻尼振荡，然后是绝对耐火周期：精确的分析结果,neuroscience,0
使用功能性MRI估算天气对大脑功能的影响：警告说明,neuroscience,0
Secondary Structure Motifs Made Searchable to Facilitate the Functional Peptide Design,bioinformatics,1
使用集合表示，在通量平衡分析中缓解生物量组成不确定性,systems biology,1
Molecular Determinants of μ-Conotoxin KIIIA interaction with the Voltage-Gated Sodium Channel Nav1.7,biophysics,0
Deep learning does not outperform classical machine learning for cell-type annotation,bioinformatics,1
Regulatory regions in natural transposable element insertions drive interindividual differences in response to immune challenges in Drosophila,evolutionary biology,0
Neural pathways linking hypoxia with pectoral fin movements in Danio rerio,neuroscience,0
需要对直接作用抗病毒药政策进行重新治疗，以消除注射毒品的人中的丙型肝炎,epidemiology,1
Amyloid-β induced membrane damage instigates tunneling nanotubes by exploiting PAK1 dependent actin remodulation,cell biology,1
捕获帕金森患者深层表型变异的通用潜在轴揭示了患阿尔茨海默氏病遗传风险高的患者更有可能发展出更具侵略性的帕金森氏症。,neuroscience,1
奥沙西m和认知重新评估：一个随机实验,neuroscience,1
Systematic detection of brain protein-coding genes under positive selection during primate evolution and their roles in cognition,genetics,1
Simplified high-throughput methods for deep proteome analysis on the timsTOF Pro,biochemistry,1
从尖峰到细胞间波：调整细胞间CA2+信号传导动力学调节器官尺寸控制,systems biology,0
Dynamic pneumococcal genetic adaptations support bacterial growth and inflammation during coinfection with influenza,microbiology,1
Whole body regeneration deploys a rewired embryonic gene regulatory network logic,developmental biology,0
Eating in a losing cause: limited benefit of modified macronutrient consumption following infection in the oriental cockroach Blatta orientalis,ecology,0
Temozolomide-induced guanine mutations create exploitable vulnerabilities of guanine-rich DNA and RNA regions in drug resistant gliomas,cancer biology,0
Pristionchus Pacificus中减数分裂的分析揭示了同源物配对和突触中的可塑性,cell biology,0
基于最大依赖捕获原理的不变对象表示,neuroscience,1
Staufen在神经退行性中阻止自噬,neuroscience,1
药物诱导的结直肠癌类器官的表型景观,genomics,1
InetModels 2.0：多摩变数据的交互式可视化和数据库,bioinformatics,0
Pervasive Translation in Mycobacterium tuberculosis,microbiology,0
微型标本制备的简单压力辅助方法,molecular biology,0
小费点分析从基因表达曲线中发现临界过渡信号,systems biology,0
染色质拓扑的组织者RIF1确保细胞对DNA复制应力的弹性。,cell biology,1
学习期间的过去和现在的独立人口编码,neuroscience,1
Compensating for a shifting world: evolving reference frames of visual and auditory signals across three multimodal brain areas,neuroscience,1
DREAM Interrupted: Severing LIN-35-MuvB association in Caenorhabditis elegans impairs DREAM function but not its chromatin localization,molecular biology,0
Agonist-independent Prostaglandin EP3 Receptor signaling is required to prevent insulin hypersecretion and metabolic dysfunction in a non-obese mouse model of insulin resistance,physiology,1
Curiosity eliminates the exploration-exploitation dilemma,animal behavior and cognition,1
在pueraria tuberosa暴露下，查尔斯·福斯特大鼠不同器官的组织病理学研究,pharmacology and toxicology,1
小鼠CD8 T细胞反应中个体间变异性的建模和表征,immunology,1
Binned Relative Environmental Change Indicator (BRECI): A tool to communicate the nature of differences between environmental niche model outputs,ecology,0
易于动力学：一种新型的酶动力学特征软件,biochemistry,0
Subtype-specific and co-occurring genetic alterations in B-cell non-Hodgkin lymphoma,genomics,0
Single EGF mutants unravel the mechanism for stabilization of Epidermal Growth Factor Receptor (EGFR) system,bioinformatics,1
Intramolecular Communication and Allosteric Sites in Enzymes Unraveled by Time-Dependent Linear Response Theory,biophysics,0
Reproducible microbial community dynamics of two drinking water systems treating similar source waters.,microbiology,0
精确的，超低的覆盖范围基因组重建和杂交群映射种群中的关联研究,genetics,0
Artisanal and farmers bread making practices differently shape fungal species diversity in French sourdoughs,ecology,0
估计多物种合并下的物种时间,evolutionary biology,1
使用工程噬菌体 - 涂蛋白-RNA复合物形成合成RNP颗粒,biophysics,1
Complement C3 and C3aR mediate different aspects of emotional behaviours; relevance to risk for psychiatric disorder,neuroscience,0
BSU1家族磷酸酶的磷化物酶的生长和免疫受体激酶下游的反应信号,plant biology,0
