sentences,labels,sentences_zh
Relating Global and Local Connectome Changes to Dementia and Targeted Gene Expression in Alzheimer's Disease,bioinformatics,将全球和局部连接的变化与阿尔茨海默氏病中的痴呆症和靶向基因表达有关
Endosomal explosion induced by hypertonicity,biophysics,高渗性引起的内体爆炸
CrowdGO: machine learning and semantic similarity guided consensus Gene Ontology annotation,bioinformatics,Crowdgo：机器学习和语义相似性指导共识基因本体论注释
Sorting motifs target the movement protein of ourmia melon virus to the trans-Golgi network and plasmodesmata,plant biology,分类基序靶向乌尔米亚瓜病毒的运动蛋白到反式高尔基网络和质量植物
Transcriptome computational workbench (TCW): analysis of single and comparative transcriptomes,bioinformatics,转录组计算工作台（TCW）：单个和比较转录组的分析
Unfolding and identification of membrane proteins in situ,biophysics,原位膜蛋白的展开和鉴定
Decoding the sound of hand-object interactions in primary somatosensory cortex,neuroscience,解码主要体感皮质中手动相互作用的声音
Genomic insights into the Archaea inhabiting an Australian radioactive legacy site,microbiology,对居住在澳大利亚放射性遗产的古细菌的基因组见解
An R Package for Divergence Analysis of Omics Data,bioinformatics,用于分歧分析OMICS数据的R软件包
Cholesterol recognition motifs in the transmembrane domain of the tyrosine kinase receptor family: the case for TRKB,neuroscience,酪氨酸激酶受体家族的跨膜结构域中的胆固醇识别基序：TRKB的情况
Talin-vinculin precomplex drives adhesion maturation by accelerated force transmission and vinculin recruitment,cell biology,塔林 - 元素蛋白前复合通过加速力传播和vinculin募集来驱动粘附成熟
Genetically encoded cell-death indicators (GEDI) to detect an early irreversible commitment to neurodegeneration,neuroscience,遗传编码的细胞死亡指标（GEDI），以检测早期不可逆的对神经变性的承诺
THE COSTS AND BENEFITS OF BASAL INFECTION RESISTANCE VS DIVERSE IMMUNE PRIMING RESPONSES IN AN INSECT,evolutionary biology,基础感染抵抗的成本和收益与昆虫的各种免疫启动反应
Common breast cancer risk loci predispose to distinct tumor subtypes,genetics,常见的乳腺癌风险基因座倾向于不同的肿瘤亚型
Analysis of eukaryotic lincRNA sequences reveals signatures of repressed translation in species under strong selection,genomics,真核lincrna序列的分析揭示了在强烈选择下，物种中被压抑的翻译的特征
"Priors, population sizes, and power in genome-wide hypothesis tests",genetics,先生，人口规模和全基因组假设检验的权力
CXCR4 allows T cell acute lymphoblastic leukemia to escape from JAK1/2 and BCL2 inhibition through CNS infiltration,cancer biology,CXCR4允许T细胞急性淋巴细胞白血病从JAK1/2和BCL2抑制通过CNS浸润
Metabolic response to point mutations reveals principles of modulation of in vivo enzyme activity and phenotype,biophysics,对点突变的代谢反应揭示了体内酶活性和表型调节的原理
Environmental and genetic factors cause atypical development of vocalizations in neonatal mice: analyses of neurodevelopmental disorder models using a novel unsupervised machine learning approach,neuroscience,环境和遗传因素导致新生儿小鼠发声的非典型发展：使用一种新型无监督的机器学习方法对神经发育障碍模型的分析
Decoding the molecular landscape of the developing spatial processing system and production of entorhinal stellate cell-like cells by a direct programming approach.,developmental biology,通过直接编程方法来解码发育中的空间加工系统的分子景观和产生内嗅星状细胞样细胞。
Adaptational lags during periods of environmental change,evolutionary biology,环境变化期间的适应性滞后
Aquila_stLFR: diploid genome assembly basedstructural variant calling package for stLFRlinked-read,bioinformatics,aquila_stlfr：二倍体基因组组装基于stlfrinked读取的结构变体套件
GABA levels in ventral visual cortex decline with age and are associated with neural distinctiveness,neuroscience,腹侧视觉皮层的GABA水平随着年龄的增长而下降，与神经独特性有关
Using target capture to address conservation challenges: population-level tracking of a globally-traded herbal medicine,genomics,使用目标捕获来应对保护挑战：全球贸易草药的人口级跟踪
Quantitative Single-Cell Proteomics as a Tool to Characterize Cellular Hierarchies,systems biology,定量单细胞蛋白质组学作为表征细胞层次结构的工具
Wheat inositol pyrophosphate kinase TaVIH2-3B modulates cell-wall composition for drought tolerance in Arabidopsis,plant biology,小麦肌醇焦磷酸激酶TAVIH2-3B调节拟南芥中的干旱耐受性的细胞壁成分
Meiotic budding yeast assemble bundled triple helices but not ladders,cell biology,减数分裂芽的酵母菌组装捆绑的三重螺旋，而不是梯子
Why are children so distractible? Development of attentional capacities and motor control from childhood to adulthood.,neuroscience,为什么孩子如此分散？从童年到成年的注意力能力和运动控制的发展。
The fasciola cinereum subregion of the hippocampus is important for the acquisition of visual contextual memory,neuroscience,海马的Fasciola Cinereum子区域对于获取视觉上下文记忆很重要
Motif elucidation in ChIP-seq datasets with a knockout control,bioinformatics,具有敲除控制
Diversity amongst human cortical pyramidal neurons revealed via their sag currents and frequency preferences,neuroscience,人皮层锥体神经元之间的多样性通过其下垂电流和频率偏好揭示
Genome-wide discovery of hidden genes mediating known drug-disease association using KDDANet,bioinformatics,使用KDDANET的介导已知药物疾病关联的隐藏基因的全基因组发现
Adaptation and correlated fitness responses over two time scales in Drosophila suzukii populations evolving in different environments,evolutionary biology,在不同环境中演变的果蝇种群中的两个时间尺度上的适应和相关的适应性反应
"Multi-scale systems genomics analysis predicts pathways, cell types and drug targets involved in normative human cognition variation",genomics,多尺度系统基因组学分析可以预测与规范性人类认知变化有关的途径，细胞类型和药物靶标
Age-related differences in white matter: Understanding tensor-based results using fixel-based analysis,neuroscience,白质与年龄有关的差异：使用基于FIXEL的分析了解基于张量的结果
High photosynthesis rate in the selected wild rice is driven by leaf anatomy mediating high Rubisco activity and electron transport rate,plant biology,所选野生大米的高光合作用率是由叶解剖学驱动的
"A signaling axis involving CNOT3, Aurora B and ERK promotes mesendodermal differentiation of ES cells in response to FGF2 and BMP4",developmental biology,涉及CNOT3，Aurora B和ERK的信号轴可促进ES细胞的肠系死分化，以响应FGF2和BMP4
Contextual extinction of drug-associated discriminative stimuli fails to attenuate drug-vs-food choice in rhesus monkeys,neuroscience,药物相关歧视性刺激的上下文灭绝无法减弱恒河猴的药物选择
Reconstruction of plant-pollinator networks from observational data,ecology,从观察数据中重建植物 - 基督网络网络
Deciphering Legionella effector delivery by Icm/Dot secretion system reveals a new role for c-diGMP signaling,microbiology,ICM/DOT分泌系统通过ICM/DOT分泌系统的解密军团效应子揭示了C-DIGMP信号的新作用
"Sawfish, Read in Tooth and Saw: rostral teeth as endogenous chemical records of movement and life-history in a critically endangered species",ecology,锯鱼，读牙和锯：和牙齿作为一种濒临灭绝的物种中运动和生命历史的内源性化学记录
Hybrid incompatibility is stronger in the presence of transposable elements in the Drosophila virilis clade,evolutionary biology,在果蝇病毒进化片中有可转座元件的情况下，混合不相容性更强
"Conformation-dependent influences of hydrophobic amino acids in two in-register parallel β-sheet amyloids, an α-synuclein amyloid and a local structural model of PrPSc",molecular biology,疏水性氨基酸在两个并联β-折叠淀粉样蛋白，α-链核蛋白淀粉样蛋白和PRPSC的局部结构模型中的构型依赖性影响
Lineage-specific control of convergent differentiation by a Forkhead repressor,developmental biology,通过叉头压抑剂对收敛分化的特定谱系控制
Phylogenomic Testing of Root Hypotheses,evolutionary biology,根假设的系统基因测试
NLIMED: Natural Language Interface for ModelEntity Discovery in Biosimulation ModelRepositories,bioinformatics,nlimed：生物仿真模型中的模型意义发现的自然语言接口
Population-level sensitivity to landscape variables reflects individual-based habitat selection in a woodland bat species,ecology,人口级对景观变量的敏感性反映了林地蝙蝠物种中基于个体的栖息地选择
"The genetic landscape of Ethiopia: diversity, intermixing and the association with culture",genetics,埃塞俄比亚的遗传格局：多样性，混合和与文化的关联
Kin discrimination promotes horizontal gene transfer between unrelated strains in Bacillus subtilis,microbiology,亲属歧视促进枯草芽孢杆菌中无关菌株之间的水平基因转移
Protein Design and Variant Prediction Using Autoregressive Generative Models,systems biology,使用自回归生成模型的蛋白质设计和变体预测
Integration of brief light flashes varying in intensity and duration by the human circadian system,neuroscience,简短闪光的整合在人类昼夜节律系统上的强度和持续时间变化
Mechanisms of distributed working memory in a large-scale network of macaque neocortex,neuroscience,在大规模的猕猴新皮层网络中分布式工作记忆的机制
Circadian protein regulation in the green lineage II. The clock gene circuit controls a phospho-dawn in Arabidopsis thaliana.,systems biology,绿色谱系II中的昼夜节律蛋白质调节。时钟基因回路控制拟南芥中的磷酸峰。
IRG1 controls host responses to restrict Mycobacterium tuberculosis infection,immunology,IRG1控制宿主对限制结核分枝杆菌感染的反应
"Stress generation, relaxation and size control in confined tumor growth",biophysics,肿瘤生长中的压力产生，放松和尺寸控制
Antidepressant drugs act by directly binding to TRKB neurotrophin receptors,neuroscience,抗抑郁药通过直接结合TRKB神经营养蛋白受体作用
LAB-AID (Laboratory Automated Interrogation of Data): an interactive web application for visualization of multi-level data from biological experiments,bioinformatics,Lab-AID（数据的实验室自动询问）：从生物学实验中可视化多层数据的交互式Web应用程序
High-level cognition during story listening is reflected in high-order dynamic correlations in neural activity patterns,neuroscience,故事聆听期间的高级认知反映在神经活动模式中的高阶动态相关性中
MRI of Capn15 knockout mice and analysis of Capn15 distribution reveal possible roles in brain development and plasticity,neuroscience,CAPN15敲除小鼠的MRI和CAPN15分布的分析揭示了可能在脑发育和可塑性中的作用
"Pulling the strings of cell cycle: a non-coding RNA, CcnA, modulates the master regulators CtrA and GcrA in Caulobacter crescentus",microbiology,拉出细胞周期的串：一种非编码RNA，CCNA，调节caulobacter Crescentus中的主调节器CTRA和GCRA
Spatial and phylogenetic structure of Alpine stonefly community assemblages across seven habitats using DNA-species,evolutionary biology,使用DNA特性的七个栖息地的高山石蝇社区组合的空间和系统发育结构
Single-trial dynamics of competing reach plans in the human motor periphery,neuroscience,人类电动机外围的竞争范围计划的单次试验动力
Deletion of a non-canonical regulatory sequence causes loss of Scn1a expression and epileptic phenotypes in mice,neuroscience,删除非典型调节序列会导致小鼠SCN1A表达和癫痫表型的丧失
Representations of complex contexts: A role for hippocampus,neuroscience,复杂环境的表示：海马的角色
No effect of monetary reward in a visual working memory task,animal behavior and cognition,在视觉工作记忆任务中没有货币奖励的影响
Learning Divisive Normalization in Primary Visual Cortex,neuroscience,在初级视觉皮层中学习分裂的归一化
An Erwinia amylovora inducible promoter for intragenic improvement of apple fire blight resistance,bioengineering,Erwinia amylovora诱导启动子，用于苹果疫病抗性的基因内改善
Most cancers carry a substantial deleterious load due to Hill-Robertson interference,evolutionary biology,大多数癌症由于希尔 - 罗伯逊干预而承受着大量有害负荷
More than Two Populations of Microtubules Comprise the Dynamic Mitotic Spindle,cell biology,超过两个微管组成了动态有丝分裂纺锤体
Two faces of perceptual awareness during the attentional blink: Gradual and discrete,neuroscience,注意力眨眼期间感知意识的两个面孔：逐渐和离散
Mechanotransduction of strain regulates an invasive phenotype in newly transformed epithelial cells,biophysics,菌株的机械转导可调节新转化的上皮细胞中的侵入性表型
Evolutionary genetic integration of behavioural and endocrine components of the stress response,evolutionary biology,压力反应的行为和内分泌成分的进化遗传整合
Discovery of a small molecule having both potent anti-fibrotic and anti-inflammatory capabilities,cell biology,发现具有有效抗纤维化和抗炎能力的小分子
B-SOiD: An Open Source Unsupervised Algorithm for Discovery of Spontaneous Behaviors,neuroscience,B-SOID：一种开源无监督算法，用于发现自发行为
Accounting for RNA polymerase heterogeneity reveals state switching and two distinct long-lived backtrack states escaping through cleavage,biophysics,考虑RNA聚合酶异质性的核算揭示了状态切换和两个不同的长期回溯状态通过裂解逃脱
Cysteine crosslinking in native membranes establishes the transmembrane architecture of Ire1,biochemistry,天然膜中的半胱氨酸交联建立了IRE1的跨膜结构
Descending neocortical output critical for skilled forelimb movements is distributed across projection cell classes,neuroscience,在熟练的前肢运动中至关重要的新皮层输出在投影细胞类别之间分布
Characterizing the Network Architecture of Emotion Regulation Neurodevelopment,neuroscience,表征情绪调节的网络结构神经发育
In silico stress fibre content affects peak strain in cytoplasm and nucleus but not in membrane for uniaxial substrate stretch,biophysics,在计算机应力中，纤维含量会影响细胞质和核中的峰值应变，但在膜中不影响单轴底物拉伸的膜
Astrovirus in Reunion Free-tailed Bat (Mormopterus francoismoutoui),ecology,团圆自由尾蝙蝠（Mormopterus francoismoutoui）
Mesoamerica is a cradle and the Atlantic Forest is a museum of Neotropical butterfly diversity: Insights from the evolution and biogeography of Brassolini (Lepidoptera: Nymphalidae),evolutionary biology,中美洲是一个摇篮，大西洋森林是新热带蝴蝶多样性的博物馆：Brassolini的进化和生物地理学的见解（鳞翅目：Nymphalidae）
"Size matters, so does condition: the use of a body condition index reveals the costs and benefits of structural body size in an insect.",ecology,大小很重要，条件也很重要：使用身体状况指数揭示了昆虫结构性体型的成本和收益。
Spatio-temporal control of DNA replication by the pneumococcal cell cycle regulator CcrZ,microbiology,通过肺炎球菌细胞周期调节剂CCRZ对DNA复制的时空控制
A unique mode of nucleic acid immunity performed by a single multifunctional enzyme,microbiology,单个多功能酶执行的核酸免疫的独特模式
Voluntary motor commands are preferentially released during restricted sensorimotor beta rhythm phases,neuroscience,自愿运动命令在受限的感觉运动β节奏阶段优先发布
Neuronal population dynamics during motor plan cancellation in non-human primates,neuroscience,非人类灵长类动物的运动计划中的神经元种群动态
Robust effects of corticothalamic feedback during naturalistic visual stimulation,neuroscience,自然主义视觉刺激期间皮质丘脑反馈的强大影响
Influencing factors of telephone-cardiopulmonary resuscitation in China: a qualitative exploration based on managerial perspectives,systems biology,中国电话肺复苏的影响因素：基于管理观点的定性探索
Nuclear bundle/cable containing actin during yeast meiosis,cell biology,酵母减数分裂过程中含有肌动蛋白的核束/电缆
Environmentally sensitive hotspots in the methylome of the early human embryo,genomics,早期人类胚胎的甲基团中对环境敏感的热点
Overcoming coarse coding in visual cortex via multiplexing: neural correlations differ dramatically when stimulus bundles are presented,neuroscience,通过多路复用克服视觉皮层中的粗制编码：当刺激束时，神经相关性差异很大
Hackflex: low cost Illumina Nextera Flex sequencing library construction,genomics,hackflex：低成本Illumina Nextera flex测序库构建
Mechanism of Interaction of BMP and Insulin Signaling in C. elegans Development and Homeostasis,cell biology,秀丽隐杆线虫发育和稳态中BMP和胰岛素信号传导相互作用的机制
The lipid kinase PI3Kα is required for the cohesion and survival of cancer cells disseminated in serous cavities.,cancer biology,脂质激酶PI3Kα是在浆液腔中分布的癌细胞的内聚力和存活所必需的。
HYPK scaffolds the Nedd8 and LC3 proteins to initiate formation of autophagosome around polyneddylated huntingtin exon1 aggregates,cell biology,Hypk脚手架NEDD8和LC3蛋白启动围绕多奈德式亨廷顿exon1聚集体的自噬体形成
"KIAA0319 influences cilia length, cell migration and mechanical cell-substrate interaction",cell biology,KIAA0319影响纤毛长度，细胞迁移和机械细胞基底相互作用
Hue tuning curves in V4 change with visual context,neuroscience,V4中的色相调谐曲线随着视觉​​上下文的方式变化
A conserved expression signature predicts growth rate and reveals cell & lineage-specific differences,systems biology,保守的表达签名预测生长速率并揭示细胞和谱系特异性差异
Genetic and epigenetic characteristics associated with. the rapid radiation of Aquilegia species,plant biology,遗传和表观遗传学特征。水2000种的快速辐射
Gelsolin and dCryAB act downstream of muscle identity genes and contribute to preventing muscle splitting and branching in Drosophila,developmental biology,凝胶素和dcryab在肌肉身份基因的下游作用，并有助于防止果蝇中的肌肉分裂和分支
Pan-genome analysis identifies intersecting roles for Pseudomonas specialized metabolites in potato pathogen inhibition,microbiology,泛基因组分析确定了在马铃薯病原体抑制中的假单胞菌专用代谢产物的相交作用
"SPF45/RBM17-dependent, but not U2AF-dependent, splicing in a distinct subset of human short introns",molecular biology,SPF45/RBM17依赖性，但不依赖于U2AF，在人类短篇内含子的独特子集中剪接
X chromosome inactivation in the human placenta is patchy and distinct from adult tissues,genomics,X人胎盘中的X染色体灭活是斑驳的，与成人组织不同
Quantitative characterization of the path of glucose diffusion facilitated by human glucose transporter 1,biophysics,人葡萄糖转运蛋白促进的葡萄糖扩散路径的定量表征1
Predictive Representations in Hippocampal and Prefrontal Hierarchies,neuroscience,海马和前额叶等级的预测性表示
Oxidation shuts down an auto-inhibitory mechanism of von Willebrand factor,biophysics,氧化关闭了von Willebrand因子的自动抑制机制
Evolution and development of male-specific leg brushes in Drosophilidae,evolutionary biology,果蝇科中男性特异性腿刷的进化和发展
Motor training improves coordination and anxiety in symptomatic Mecp2-null mice despite impaired functional connectivity within the motor circuit,neuroscience,尽管电动机电路内功能连接性障碍，但运动训练仍改善了有症状的MECP2无效小鼠的协调和焦虑
Connectome Constrained Graphical Models of MEG Coherence,neuroscience,连接组约束MEG连贯的图形模型
Sex-specific phenotypic effects and evolutionary history of an ancient polymorphic deletion of the human growth hormone receptor,evolutionary biology,人类生长激素受体的古代多态性缺失的性别表型效应和进化史
Impact of early childhood malnutrition on the adult brain function: an ERP study,neuroscience,幼儿营养不良对成人脑功能的影响：ERP研究
Cortico-striatal activity driving compulsive reward seeking,neuroscience,Cortico-Sriatal活动推动强迫奖励寻求
Pulmonary acini exhibit complex changes during postnatal rat lung development,physiology,肺acini在产后大鼠肺发育过程中表现出复杂的变化
Visualization and Analysis of Whole Depot Adipose Tissue Neural Innervation,neuroscience,整个仓库脂肪组织神经神经支配的可视化和分析
Spatially-explicit modeling improves empirical characterization of dispersal,ecology,在空间上进行建模改善了分散的经验表征
longfin causes cis-ectopic expression of the kcnh2a ether-a-go-go K+ channel to autonomously prolong fin outgrowth,developmental biology,longfin导致kcnh2a ether-a-go-go-go k+通道的顺式分类表达，以自主延长鳍片的生长
Ancestral mitochondrial apparatus derived from the bacterial type II secretion system,evolutionary biology,源自细菌II型分泌系统的祖先线粒体设备
Cold exposure drives weight gain and adiposity following chronic suppression of brown adipose tissue,physiology,慢性抑制棕色脂肪组织后，冷暴露会促进体重增加和肥胖
A parametrized computational framework for description and design of genetic circuits of morphogenesis based on contact-dependent signaling and changes in cell-cell adhesion,synthetic biology,基于接触依赖性信号和细胞细胞粘附的变化，用于描述形态发生遗传回路的参数化计算框架
Noncoding RNAs endogenously rule the cancerous regulatory realm while proteins govern the normal,genomics,非编码RNA内源性地统治癌性调节领域，而蛋白质则控制正常
Functional single-cell genomics of human cytomegalovirus infection,systems biology,人类巨细胞病毒感染的功能性单细胞基因组学
Polygenic adaptation after a sudden change in environment,evolutionary biology,环境突然变化后多基因适应
Minimal DNA Electron Transfer Catalysts Switched by a Chaotropic Ion,synthetic biology,最小DNA电子转移催化剂由Chaotropic离子切换
Range expansion shifts clonal interference patterns in evolving populations,evolutionary biology,范围扩展转移不断发展的种群中的克隆干扰模式
Lytic infection with murine gammaherpesvirus 68 activates host and viral RNA polymerase III-dependent promoters to enhance non-coding RNA expression,microbiology,用鼠γγ病毒68激活宿主和病​​毒RNA聚合酶III依赖性启动子的裂解感染，以增强非编码RNA表达
Representation of Task Structure in Human Hippocampus and Orbitofrontal Cortex,neuroscience,在人海马和眶额皮质中的任务结构的表示
Replacement of microglia by brain-engrafted macrophages provide protection against concussive injury,neuroscience,用大脑嫁接的巨噬细胞替换小胶质细胞可防止脑震荡
"Context-invariant neural dynamics underlying the encoding of Bayesian uncertainty, but not confidence",neuroscience,上下文不变的神经动力学是贝叶斯不确定性编码的基础，但没有信心
Platinum chemotherapy induces lymphangiogenesis in cancerous and healthy tissues that can be prevented with adjuvant anti-VEGFR3 therapy,cancer biology,铂化学疗法诱导癌和健康组织中的淋巴管生成，可以通过辅助抗VEGFR3治疗预防
Amitosis confers benefits of sex in the absence of sex to Tetrahymena,evolutionary biology,在没有性的情况下，赋予性别的好处
Parallel and Population-specific Gene Regulatory Evolution in Cold-Adapted Fly Populations,evolutionary biology,冷适应蝇种群中的平行和人群特异性基因调节演化
Reduction of insulin/IGF-1 receptor rejuvenates immunity via positive feedback circuit,genetics,胰岛素/IGF-1受体的降低通过正反馈电路恢复免疫力
Structural and Dynamic Insights Into α-Synuclein Dimer Conformations,biophysics,对α-突触核蛋白二聚体构象的结构和动态见解
A proximity-dependent biotinylation map of a human cell: an interactive web resource,molecular biology,人类细胞的接近依赖性生物素化图：交互式网络资源
CDR3 binding chemistry controls TCR V-domain rotational probability and germline CDR2 'scanning' of polymorphic MHC,immunology,CDR3结合化学控制TCR V域旋转概率和种系CDR2扫描'多态MHC
Estrogen Drives Melanocortin Neurons To Increase Spontaneous Activity and Reduce Sedentary Behavior,neuroscience,雌激素驱动黑素皮质素神经元增加自发活性并减少久坐行为
An experimentally-derived measure of inter-replicate variation in reference samples: the same-same permutation methodology,biochemistry,参考样品中复制变化的实验衍生的量度：同样置换方法
Sugars dominate the seagrass rhizosphere,microbiology,糖主导着海草根际
Multiphoton imaging of neural structure and activity in Drosophila through the intact cuticle,neuroscience,通过完整的角质层的神经结构和活性的多光子成像
A multilayer network model of neuron-astrocyte populations in vitro reveals mGluR5 inhibition is protective following traumatic injury,neuroscience,在体外神经元 - 胃细胞种群的多层网络模型揭示了MGLUR5抑制作用是在创伤性损伤后保护性的
Visual discrimination of optical material properties: a large-scale study,neuroscience,光学材料特性的视觉歧视：一项大规模研究
High and stable ATP levels prevent aberrant intracellular protein aggregation,cell biology,高和稳定的ATP水平预防异常细胞内蛋白质聚集
"High resolution, dynamic imaging of early mouse and human liver bud morphogenesis in three dimensions",developmental biology,高分辨率，早期小鼠和人肝芽形态发生的动态成像在三个方面
Eliminating accidental deviations to minimize generalization error and maximize replicability: applications in connectomics and genomics,neuroscience,消除意外偏差以最大程度地减少概括误差并最大化可复制性：连接和基因组学中的应用
Sequential and efficient neural-population coding of complex task information,neuroscience,复杂任务信息的顺序有效的神经填充编码
Effect of number and placement of EEG electrodes onmeasurement of neural tracking of speech,neuroscience,脑电图电极数量和放置对言语神经跟踪测量的影响
Cell cycle-dependent active stress drives epithelia remodeling,biophysics,依赖细胞周期的活动应力驱动上皮重塑
Telemetry reveals rapid duel-driven song plasticity in a naturalistic social environment,animal behavior and cognition,遥测揭示了自然主义社会环境中以决斗驱动的歌曲可塑性
Mutational signatures of replication timing and epigenetic modification persist through the global divergence of mutation spectra across the great ape phylogeny,genomics,复制时间和表观遗传修饰的突变特征通过突变光谱的全球差异持续存在
Reconstructing the history of variation in effective population size along phylogenies.,evolutionary biology,重建沿系统发育的有效人群大小的变化史。
Dynamic interactions and intracellular fate of label-free GO within mammalian cells: role of lateral sheet size,cell biology,哺乳动物细胞内无标签的动态相互作用和无标签的细胞内命运：侧张尺寸的作用
Efficient and robust coding in heterogeneous recurrent networks,neuroscience,在异构经常性网络中有效且稳健的编码
A Neural Circuit Model of Proprioceptive Feedback from Muscles Recruited during an Isometric Knee Extension,neuroscience,等距膝关节伸展期间招募的肌肉的本体感受反馈的神经回路模型
Proximity proteomics in a marine diatom reveals a putative cell surface-to-chloroplast iron trafficking pathway,cell biology,海洋硅硅硅硅质组中的接近蛋白质组学揭示了推定的细胞表面至绿色的铁路运输途径
Parallel Factor Analysis for multidimensional decomposition of fNIRS data,neuroscience,FNIRS数据多维分解的并行因子分析
Lymphoid follicle formation and human vaccination responses recapitulated in an organ-on-a-chip,immunology,淋巴卵泡形成和人类疫苗接种反应在A-A-Chip中概括
The Role of State Uncertainty in the Dynamics of Dopamine,neuroscience,国家不确定性在多巴胺动力学中的作用
DeepImageJ: A user-friendly environment to run deep learning models in ImageJ,bioengineering,DeepImageJ：一个用户友好的环境，可以在ImageJ中运行深度学习模型
"Reference transcriptome data in silkworm, Bombyx mori",genomics,蚕的参考转录组数据，bombyx mori
A functional corona around extracellular vesicles enhancesangiogenesis during skin regeneration and signals in immune cells,cell biology,细胞外囊泡周围的功能性电晕增强了皮肤再生过程中的血管生成和免疫细胞中的信号
Integrating multi-omics data through deep learning for accurate cancer prognosis prediction,bioinformatics,通过深度学习进行精确的癌症预测预测来整合多摩智数据
Understanding patterns of HIV multi-drug resistance through models of temporal and spatial drug heterogeneity,evolutionary biology,通过时间和空间药物异质性了解HIV多药的抗性模式
Evolutionary impact of size-selective harvesting on shoaling behavior: Individual-level mechanisms and possible consequences for natural and fishing mortality,ecology,尺寸选择性收获对浅滩行为的进化影响：个人水平机制以及对自然和捕鱼死亡率的可能后果
Fine human genetic map based on UK10K data set,evolutionary biology,基于UK10K数据集的精细人遗传图
Gene Ontology Meta Annotator for Plants (GOMAP),bioinformatics,植物的基因本体学元注释（GOMAP）
AMR - An R Package for Working with Antimicrobial Resistance Data,microbiology,AMR-用于使用抗菌耐药性数据的R包装
Caveat in Fisher's theorem reveals fitness can change without mutations,evolutionary biology,费舍尔定理中的警告表明健身可以改变而无需突变
Effective mechanical potential of cell-cell interaction explains basic structural units of three-dimensional morphogenesis,biophysics,细胞细胞相互作用的有效机械潜力解释了三维形态发生的基本结构单位
Network dynamics underlying OFF responses in the auditory cortex,neuroscience,在听觉皮层中响应的基础网络动力学
Low-dimensional learned feature spaces quantify individual and group differences in vocal repertoires,animal behavior and cognition,低维学习的特征空间量化了人声曲目中的个体和群体差异
Population coding of strategic variables during foraging in freely-moving macaques,neuroscience,在自由移动猕猴觅食期间的战略变量的人口编码
Fully-automated and ultra-fast cell-type identification using specific marker combinations from single-cell transcriptomic data,systems biology,使用单细胞转录组数据的特定标记组合，完全自动化和超快速的细胞类型识别
Hybridization disrupts growth-defense strategies and reveals trade-offs masked in unadmixed populations of a perennial plant,evolutionary biology,杂交破坏了增长防御策略，并揭示了在多年生植物的无混合种群中掩盖的权衡
Information Enhanced Model Selection for Gaussian Graphical Model with Application to Metabolomic Data,bioinformatics,高斯图形模型的信息增强模型选择，并应用于代谢组数据
Whole genome sequencing and the application of a SNP panel reveal primary evolutionary lineages and genomic diversity in the lion (Panthera leo),evolutionary biology,整个基因组测序和SNP面板的应用揭示了狮子的主要进化谱系和基因组多样性（Panthera Leo）
