sentences,labels,sentences_zh
MARS-Net: Deep learning-based segmentation pipeline for profiling cellular morphodynamics from multiple types of live cell microscopy,bioinformatics,火星网络：基于深度学习的分割管道，用于分析来自多种活细胞显微镜的细胞形态动力学
Histone deacetylase inhibition reduces deleterious cytokine release induced by ingenol stimulation,microbiology,组蛋白脱乙酰基酶抑制减少了由Ingenol刺激诱导的有害细胞因子释放
"Plasma amyloid β levels are driven by genetic variants near APOE, BACE1, APP, PSEN2: A genome-wide association study in over 12,000 non-demented participants",genetics,"血浆淀粉样β水平由APOE，BACE1，APP，PSEN2附近的遗传变异驱动：全基因组的关联研究超过12,000名非痴呆参与者"
Measuring nonapoptotic caspase activity with a transgenic reporter in mice,neuroscience,用小鼠中的转基因报告基因测量非凋亡的caspase活性
Improved management facilitates return of an iconic fish species,ecology,改进的管理促进了标志性鱼类的返回
Early urinary candidate biomarkers and clinical outcomes of intervention in a rat model of experimental autoimmune encephalomyelitis,biochemistry,早期的尿候选生物标志物和在大鼠自身免疫性脑脊髓炎大鼠模型中的干预临床结果
Majority of choice-related variability in perceptual decisions is present in early sensory cortex,neuroscience,早期感觉皮质中存在大多数与选择相关的可变性
Removing unwanted variation between samples in Hi-C experiments,genomics,在HI-C实验中删除样品之间的不良变化
A bacterial GW-effector directly targets Arabidopsis Argonaute 1 to suppress PAMP-triggered immunity and cause disease,plant biology,细菌GW效应器直接靶向拟南芥1，以抑制被诱发的免疫力并引起疾病
Differential and defective expression of Koala Retrovirus indicate complexity of host and virus evolution,microbiology,考拉逆转录病毒的差异和缺陷表达表明宿主和病毒的复杂性
Experimental evidence of non-classical brain functions,bioinformatics,非古典脑功能的实验证据
A GenoChemetic strategy  for derivatization of the violacein natural product scaffold,synthetic biology,衍生化紫饼蛋白天然产物支架的属化学策略
Proof of concept continuous event logging in living cells,synthetic biology,概念证明在活细胞中连续事件记录
Modeling Dynamic Transcriptional Circuits with CRISPRi,synthetic biology,用CRISPRI建模动态转录电路
Scanning along a compressed timeline of the future,animal behavior and cognition,沿着未来的压缩时间表进行扫描
Single-cell characterization of step-wise acquisition of carboplatin resistance in ovarian cancer,cancer biology,卵巢癌中卡铂耐药性逐步获得的单细胞表征
System drift and speciation,evolutionary biology,系统漂移和物种形成
The effectiveness of glass beads for plating cell cultures,biophysics,玻璃珠对电池培养的有效性
Iron oxidation by a fused cytochrome-porin common to diverse iron-oxidizing bacteria,microbiology,通过融合的细胞色素 - 毒素与多种铁氧化细菌共有的融合氧化
Novel Integrative Modeling of Molecules and Morphology Pinpoints Caninae Evolution across Timescales,evolutionary biology,分子和形态学的新型整合建模精确指标横跨时间尺度的犬科进化
Dynamic Flux Balance Analysis Models in SBML,bioinformatics,SBML中的动态通量平衡分析模型
Seidr: Efficient Calculation of Robust Ensemble Gene Networks,bioinformatics,SEIDR：有效计算可靠的集合基因网络
High-throughput microcolony growth analysis from suboptimal low-magnification micrographs,bioinformatics,次级低磁化显微照片的高通量微殖民生长分析
Visual and auditory brain areas share a representational structure that supports emotion perception,neuroscience,视觉和听觉大脑区域具有支持情感感知的代表性结构
Bayesian model comparison for rare variant association studies,genetics,稀有变体关联研究的贝叶斯模型比较
Nanoscale colocalization of NK cell activating and inhibitory receptors controls signal integration,immunology,NK细胞激活和抑制受体的纳米级共定位控制信号积分
Genie: An interactive real-time simulation for teaching genetic drift,scientific communication and education,精灵：用于教学遗传漂移的互动实时模拟
The effect of mutational robustness on the evolvability of multicellular organisms,evolutionary biology,突变鲁棒性对多细胞生物的发展性的影响
The importance of semantic network brain regions in integrating prior knowledge with an ongoing dialogue,neuroscience,语义网络大脑区域在将先验知识与持续对话集成的重要性
Y chromosomal noncoding RNAs regulate autosomal gene expression via piRNAs in mouse testis,genomics,Y染色体非编码RNA通过小鼠睾丸中的PIRNA调节常染色体基因表达
Effects of adaptive harvesting on fishing down processes and resilience changes in predator-prey systems,ecology,自适应收获对捕捞过程的影响和捕食者捕食系统的弹性变化
Does deterministic coexistence theory matter in a finite world?,ecology,确定性共存理论在有限的世界中是否重要？
Splicing motifs are organized within global structural scaffold of a pre-mRNA,biochemistry,剪接图案是在前MRNA的全球结构支架内组织的
Manipulation of the unfolded protein response: a pharmacological strategy against coronavirus infection,microbiology,操纵展开的蛋白质反应：针对冠状病毒感染的药理策略
Dissecting indirect genetic effects from peers in laboratory mice,genetics,在实验室小鼠中剖析同龄人的间接遗传效应
Spatial distribution of private gene mutations in clear cell renal cell carcinoma,cancer biology,清晰细胞肾细胞癌中私有基因突变的空间分布
DsbA is a redox-switchable mechanical chaperone,biophysics,DSBA是一种可氧化还原的机械伴侣
A constraints-based theory of senescence: imbalance of epigenetic and non-epigenetic information in histone crosstalk,developmental biology,基于约束的衰老理论：组蛋白串扰中表观遗传学和非观察信息的不平衡
Cargo-Loading of Misfolded Proteins into Extracellular Vesicles: The CSPα-EV Export Pathway,neuroscience,将错误折叠蛋白的货物加载到细胞外囊泡中：CSPα-EV导出途径
Structurally Constrained Effective Brain Connectivity,neuroscience,结构上有效的有效大脑连通性
Characterization of Animal Movement Patterns using Information Theory: a Primer,ecology,使用信息理论对动物运动模式的表征：底漆
Sperm morphology differences associated with pig fertility,developmental biology,精子形态差异与猪生育
Direct programming of human mammary self-organised organoids by miR-106a-3p,cell biology,miR-106a-3p直接编程人类乳腺自组织器官
Polymer brush bilayers at thermal equilibrium: A density functional theory approach,biophysics,热平衡处的聚合物刷双层：密度功能理论方法
Empirical single-cell tracking and cell-fate simulation reveal dual roles of p53 in tumor suppression,cell biology,经验单细胞跟踪和细胞命运模拟揭示了p53在肿瘤抑制中的双重作用
Identification and design of vinyl sulfone inhibitors against Cryptopain1-a cysteine protease from cryptosporidiosis-causing Cryptosporidium parvum,bioinformatics,乙烯基磺极抑制剂对cryptopain1-A Cyptopopopodiosis引起的隐孢子虫的抑制剂的抑制剂
Spatial RNA sequencing identifies robust markers of vulnerable and resistant human midbrain dopamine neurons and their expression in Parkinson's Disease,neuroscience,空间RNA测序识别脆弱和抗性人中脑多巴胺神经元的鲁棒标记及其在帕金森氏病中的表达
Dissociating Language and Thought in Human Reasoning,neuroscience,在人类推理中解离语言和思想
"Broad geographic sampling reveals predictable, pervasive, and strong seasonal adaptation in Drosophila",evolutionary biology,广泛的地理抽样揭示了果蝇的可预测，普遍和强烈的季节性适应
3D Reconstruction of Bird Flight Using a Single Video Camera,animal behavior and cognition,使用单摄像机进行鸟类飞行的3D重建
The interspecific fungal hybrid Verticillium longisporum displays sub-genome-specific gene expression,microbiology,种间真菌杂种龙孢菌显示亚基因组特异性基因表达
Ecological Network assembly: how the regional meta web influence local food webs,ecology,生态网络集会：区域元网络如何影响当地食物网
Network Reconstruction from Perturbation Time Course Data,systems biology,来自扰动时间课程数据的网络重建
"Rapid adaptation of endocytosis, exocytosis and eisosomes after an acute increase in membrane tension in yeast cells",cell biology,酵母细胞中膜张力急剧增加后，内吞作用，胞吐作用和eliisoss的快速适应
Evolutionary forecasting of phenotypic and genetic outcomes of experimental evolution in Pseudomonas protegens,evolutionary biology,对假单胞菌蛋白质的实验进化的表型和遗传结果的进化预测
KChIP4a selectively controls mesolimbic dopamine neuron inhibitory integration and learning from negative prediction errors,neuroscience,KCHIP4A选择性控制中脱甲贝胺多巴胺神经元抑制性整合并从阴性预测错误中学习
A pragmatic approach to make theoretical syntheses in ecology,ecology,一种务实的方法来使理论合成生态学
Microbial adaptation to venom is common in snakes and spiders,microbiology,微生物对毒液的适应在蛇和蜘蛛中很常见
The Goldilocks Effect: Female geladas in mid-sized groups have higher fitness,evolutionary biology,Goldilocks效应：中型组中的雌性Geladas具有较高的适应性
Joint inference of species histories and gene flow,evolutionary biology,物种历史和基因流的关节推断
5' Modifications Improve Potency and Efficacy of DNA Donors for Precision Genome Editing,molecular biology,5'修改提高了精确基因组编辑的DNA供体的效力和功效
"Structure-aware M. tuberculosis functional annotation uncloaks resistance, metabolic, and virulence genes",genomics,结构感知的结核分枝杆菌功能注释解开耐药性，代谢和毒力基因
Distracting Linguistic Information Impairs Neural Tracking of Attended Speech,neuroscience,分散语言信息会损害演讲的神经跟踪
"Extracellular histones, a new class of inhibitory molecules of CNS axonal regeneration",neuroscience,细胞外组蛋白，新的CNS轴突再生抑制分子
Dispensing a synthetic green leaf volatile to two plant species in a common garden differentially alters physiological responses and herbivory,ecology,将合成的绿叶挥发在一个公共花园中的两个植物物种差异化，从而改变了生理反应和草食
The taxonomic and functional biogeographies of phytoplankton and zooplankton communities across boreal lakes,ecology,北方湖泊的浮游植物和浮游动物社区的分类和功能生物地理
Predicting subclinical psychotic-like experiences on a continuum using machine learning,neuroscience,使用机器学习预测连续性的亚临床精神病经验
Individuals with ventromedial frontal damage have more unstable but still fundamentally transitive preferences,neuroscience,腹侧额叶损伤的人具有更不稳定但仍具有传递性的偏好
De Novo Mutational Signature Discovery in Tumor Genomes using SparseSignatures,bioinformatics,使用稀数式化的肿瘤基因组中的从头突变签名发现
"GranatumX: A community engaging, modularized and flexible software environment for single-cell analysis",bioinformatics,GRANATUMX：一个社区引人入胜，模块化和灵活的软件环境，用于单细胞分析
High-quality SNPs from genic regions highlight introgression patterns among European white oaks (Quercus petraea and Q. robur).,evolutionary biology,来自基因区域的高质量SNP突出了欧洲白橡树（Quercus Petraea和Q. Robur）中的渗入模式。
Eye movements during text reading align with the rate of speech production,neuroscience,文本阅读期间的眼动与语音产生速度一致
Basal ganglia and cortical control of thalamic rebound spikes,neuroscience,基底神经节和丘脑反弹尖峰的皮质控制
Reduction in CD11c+ microglia correlates with clinical progression in chronic experimental autoimmune demyelination,neuroscience,CD11C+小胶质细胞的减少与慢性实验自身免疫性脱髓鞘的临床进展相关
Dimerisation of APOBEC1 is dispensable for its RNA/DNA editing activity and modulates its availability,molecular biology,APOBEC1的二聚体对于其RNA/DNA编辑活性是可分配的，并调节其可用性
Diversity and composition of cave methanotrophic communities,microbiology,洞穴甲烷营养社区的多样性和组成
Genetic characterization of outbred Sprague Dawley rats and utility for genome-wide association studies,genetics,杂种Sprague Dawley大鼠的遗传特征和全基因组关联研究的实用性
Nuclear envelope budding is a response to cellular stress,cell biology,核包膜萌芽是对细胞应激的反应
Tension suppresses Aurora B kinase-triggered release of reconstituted kinetochore-microtubule attachments,cell biology,张力抑制了Aurora B激酶触发的重构动力学微管附件的释放
Human cortical dynamics during full-body heading changes,neuroscience,全身标题变化期间人类皮质动力学
Paternal knockdown of tRNA (cytosine-5-)-methyltransferase (Dnmt2) increases offspring susceptibility to infection in flour beetles,evolutionary biology,tRNA的父亲敲低（胞质5-） - 甲基转移酶（DNMT2）增加了后代对粉甲虫感染的敏感性
An epi-evolutionary model to predict spore-producing pathogens adaptation to quantitative resistance in heterogeneous environments,evolutionary biology,一种预测产生孢子的病原体对异质环境中定量抗性的适应性的epi-进化模型
Subcutaneous neurotrophin-3 infusion induces corticospinal neuroplasticity and improvements in dexterity and walking in elderly rats after large cortical stroke,neuroscience,皮下神经营养蛋白3输注诱导皮质脊髓神经塑性和敏捷性的改善，并在大型皮质中风后老鼠的敏捷性和行走
Ratio-based sensing of two transcription factors regulates the transit to differentiation,developmental biology,基于两个转录因子的基于比率的传感可调节分化的转运
Pink Cedar (Acrocarpus fraxinifolius): its prophylactic role against APAP induced organs toxicity in rats and its antiviral activity against Herpes simplex virus type 1,physiology,粉红色的雪松（Acrocarpus fraxinifolius）：其针对APAP诱导的器官毒性的预防作用及其针对单纯疱疹病毒1型的抗病毒活性
Dual brain cortical calcium imaging reveals social interaction-specific wide-spread correlated cortical activity in mice.,neuroscience,双脑皮质钙成像揭示了小鼠的社会相互作用特异性相关的皮质活动。
RegTools: Integrated analysis of genomic and transcriptomic data for the discovery of splicing variants in cancer,bioinformatics,RegTools：用于发现癌症剪接变体的基因组和转录数据的综合分析
Sensory experience controls dendritic structure and behavior by distinct pathways involving degenerins,neuroscience,感官经验通过涉及脱纳尔蛋白的不同途径控制树突结构和行为
The best of both worlds: A new lipid complex has micelle and bicelle-like properties,biophysics,两者中最好的：一个新的脂质综合体具有胶束和类似于比塞尔的特性
Inferring the heritability of large-scale functional networks with a multivariate ACE modeling approach,neuroscience,通过多元ACE建模方法推断大型功能网络的遗传力
BIN1 genetic risk factor for Alzheimer is sufficient to induce early structural tract alterations in entorhinal cortex-dentate gyrus pathway and related hippocampal multi-scale impairments,neuroscience,阿尔茨海默氏症的BIN1遗传危险因素足以诱导内hinal骨皮质道回路的早期结构性改变和相关的海马多尺度损害
Single cell variations in expression of codominant alleles A and B on RBC of AB blood group individuals.,genetics,AB血型个体的RBC表达表达表达中的单细胞变异。
A confirmation bias in perceptual decision-making due to hierarchical approximate inference,animal behavior and cognition,由于分层近似推断，知觉决策的确认偏见
Inferring linguistic transmission between generations at the scale of individuals,bioinformatics,在个人规模上推断世代之间的语言传播
I knew that! Response-based Outcome Predictions and Confidence Regulate Feedback Processing and Learning,neuroscience,我知道！基于响应的结果预测和信心调节反馈处理和学习
A Sparse Additive Model for High-Dimensional Interactions with an Exposure Variable,bioinformatics,用于与曝光变量的高维相互作用的稀疏添加剂模型
Decoding locomotion from population neural activity in moving C. elegans,neuroscience,在移动秀丽隐杆线虫中的人群神经活动中解码运动
Epigenome priming dictates transcription response and white matter fate upon perinatal inflammation,developmental biology,表观基因组启动决定围产期炎症时转录反应和白质命运
Reorganization of thalamocortical connections in congenitally blind humans,neuroscience,先天性盲人的丘脑皮质连接的重组
Inference of the worldwide invasion routes of the pinewood nematode Bursaphelenchus xylophilus using approximate Bayesian computation analysis,genetics,使用近似贝叶斯计算分析的松木线虫毛刺木骨纤维杆菌的全球入侵途径的推断
"Cyclic, condition-independent activity in primary motor cortex predicts corrective movement behavior",neuroscience,循环，与条件无关的活性在原发性运动皮层中预测矫正运动行为
Understanding population history of range expansion and environmental adaptation by visualizing gene-environment-trait associations,bioinformatics,通过可视化基因环境 - 环境交往，了解范围扩展和环境适应的人口历史
The molecular pH-response mechanism of the plant light-stress sensor PsbS,biophysics,植物轻应力传感器PSB的分子pH响应机制
Paradoxical changes in brain reward status during oxycodone self-administration in a novel test of the negative reinforcement hypothesis,neuroscience,在羟考酮自身给药期间，脑奖励状态的矛盾变化在负面强化假设的新测试中
From predictive models to cognitive models: Separable behavioral processes underlying reward learning in the rat,animal behavior and cognition,从预测模型到认知模型：大鼠奖励学习的可分离行为过程
Brain X chromosome inactivation is not random and can protect from paternally inherited neurodevelopmental disease.,neuroscience,脑部X染色体灭活不是随机的，可以免受亲子遗传的神经发育疾病的保护。
"Timing polymerase pausing with TV-PRO-seq: dissecting the interplay of pausing duration and location, and gene expression",systems biology,用TV-Pro-Seq暂停的定时聚合酶：剖析暂停持续时间和位置的相互作用，以及基因表达
A thermodynamic chemical reaction network drove autocatalytic prebiotic peptides formation,biochemistry,热力学化学反应网络驱动自催化前益生元肽的形成
Inferring causal connectivity from pairwise recordings and optogenetics,neuroscience,从成对记录和光遗传学推断因果关系
"In for a pound, in for a penny: How the opportunity to gain reward influences the competition for memory resources",neuroscience,一磅，一分钱：获得奖励的机会如何影响记忆资源的竞争
"Ownership, Coverage, Utilisation and Maintenance of Long-lasting insecticidal nets in Three Health Districts in Cameroon: A Cross-Sectional Study",epidemiology,喀麦隆三个健康区的持久杀虫网的所有权，覆盖范围，利用和维护：一项横断面研究
Healthy Choice depends on the latency and rate of information accumulation,neuroscience,健康的选择取决于信息积累的延迟和速率
Consistency of non-cognitive skills and their relation to educational outcomes in a UK cohort,genetics,非认知技能的一致性及其与英国队列中教育成果的关系
Predictiveness and Reward Effects on Attention can be Explained by a Single Mechanism,neuroscience,可以通过一种机制来解释对注意力的预测性和奖励影响
Combined use of Candida Utilis and Idesia polycarpa var. Vestita Fruit Improve the Production Performance of Laying Quail,microbiology,Candida Utilis和Idesia Polycarpa var的联合使用。维斯蒂塔水果改善了鹌鹑的生产性能
EEG-based detection of the locus of auditory attention with convolutional neural networks,neuroscience,基于脑电图对卷积神经网络的听觉关注源的检测
Mismatch repair disturbs meiotic class I crossover control,genetics,不匹配维修干扰减数分裂级I跨界控制
Neural Basis Of The Sound-Symbolic Crossmodal Correspondence Between Auditory Pseudowords And Visual Shapes,neuroscience,听觉伪和视觉形状之间声音符号跨模式对应关系的神经基础
Uncovering Network Architecture Using an Exact Statistical Input-Output Relation of a Neuron Model,neuroscience,使用神经元模型的精确统计输入输出关系来揭示网络架构
A learned embedding for efficient joint analysis of millions of mass spectra,bioinformatics,学习的嵌入，用于有效地分析数百万质谱
Somatic uniparental disomy mitigates the most damaging EFL1 allele combination in Schwachman-Diamond syndrome,genetics,体细胞疾病减轻Schwachman-Diamond综合征中最具破坏性的EFL1等位基因组合
Effects of long-lasting insecticide net (LLINs) ownership/utilisation indicators on annual household malaria episodes (AHMEs) in three Health Districts in Cameroon,epidemiology,喀麦隆三个卫生区的年度家庭疟疾发作（AHMES）的持久杀虫剂网（LLIN）所有权/利用率指标的影响
Cell fitness is an omniphenotype,systems biology,细胞健身是一种综合型
Non-random sister chromatid segregation mediates rDNA copy number maintenance in Drosophila,developmental biology,非随机姐妹染色单体隔离介导果蝇中的rDNA拷贝数维持
"A novel mechanosensitive channel controls osmoregulation, differentiation and infectivity in Trypanosoma cruzi",microbiology,新型的机械敏感频道控制锥虫锥虫菌的渗透调节，分化和感染力
Species Tree Inference on Data with Paralogs is Accurate Using Methods Intended to Deal with Incomplete Lineage Sorting,evolutionary biology,用旁系同源物的数据推断，使用旨在处理不完整谱系排序的方法准确
Neurocomputational underpinnings of expected surprise,neuroscience,预期惊喜的神经计算基础
Visual exposure enhances stimulus encoding and persistence in primary cortex,neuroscience,视觉暴露增强了原发性皮质中的刺激编码和持久性
Sensory coding and causal impact of mouse cortex in a visual decision,neuroscience,视觉决策中鼠标皮层的感觉编码和因果影响
Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,genomics,通过单细胞转录组学的克隆跟踪来鉴定白血病和白细胞前干细胞
Differential dominance of an allele of the Drosophila tbetah gene challenges standard genetic techniques,genetics,果蝇Tbetah基因的等位基因的差异优势挑战标准遗传技术
Feedback between a retinoid-related nuclear receptor and the let-7 microRNAs controls the pace and number of molting cycles in C. elegans.,developmental biology,与类维生素相关的核受体和Let-7 microRNA之间的反馈控制了秀丽隐杆线虫中摩擦周期的速度和数量。
Cyclic Nucleotide-Gated Ion Channel 2 modulates auxin homeostasis and signaling,plant biology,环状核苷酸门控离子通道2调节生长素稳态和信号传导
Identifying complex sequence patterns with a variable-convolutional layer effectively and efficiently,bioinformatics,用可变的横向横向层有效，有效地识别复杂序列模式
Rigorous equations for isothermal titration calorimetry: theoretical and practical consequences,biophysics,等温滴定量热法的严格方程：理论和实际后果
Discovering footprints of evolutionary chromatin response to transposons activity: merging biophysics with bioinformatics,biophysics,发现进化染色质对转座活性反应的足迹：将生物物理与生物信息学合并
Chloroplasts alter their morphology and accumulate at the pathogen interface during infection by Phytophthora infestans,plant biology,叶绿体改变其形态并在感染疫霉菌感染期间在病原体界面上积聚
Sequestration of RBM10 in Nuclear Bodies: Targeting Sequences and Biological Significance,molecular biology,核体中RBM10的固相：靶向序列和生物学意义
Rbm10 facilitates heterochromatin assembly via the Clr6 HDAC complex,molecular biology,RBM10通过CLR6 HDAC复合物促进异染色质组装
A Data-Driven Transcriptional Taxonomy of Adipogenic Chemicals to Identify White and Brite Adipogens,pharmacology and toxicology,数据驱动的掺杂化学物质的转录分类法，以鉴定白色和乳脂剂量
Stimulation of phospholipase Cβ1 by Gαq promotes the assembly of stress granule proteins,biochemistry,GαQ刺激磷脂酶Cβ1促进应激颗粒蛋白的组装
A neuroendocrine pathway modulating osmotic stress in Drosophila,neuroscience,神经内分泌途径调节果蝇中的渗透应激
Development and maintenance of synaptic structure is mediated by the alpha-tubulin acetyltransferase MEC-17/αTAT1,cell biology,突触结构的开发和维持是由α-微管蛋白乙酰转移酶MEC-17/αTAT1介导的
The imprinted Igf2-Igf2r axis is critical for matching placental microvasculature expansion to fetal growth,developmental biology,印迹的IGF2-IGF2R轴对于将胎盘微脉管膨胀与胎儿生长匹配至关重要
Progressive domain segregation in early embryonic development and underlying correlation to genetic and epigenetic changes,developmental biology,早期胚胎发育中的进行性域分离以及与遗传和表观遗传变化的基本相关性
Krüppel-like factor gene function in the ctenophore Mnemiopsis leidyi assessed by CRISPR/Cas9-mediated genome editing,developmental biology,CRISPR/CAS9介导的基因组编辑评估的ctenophore mnemiopsis leidyi中的krüppel样因子基因功能
Cellular transformation by combined lineage conversion and oncogene expression,cancer biology,通过谱系转换和癌基表达组合的细胞转化
Phosphorylation-dependent routing of RLP44 towards brassinosteroid or phytosulfokine signalling,plant biology,RLP44磷酸化依赖性路由向铜氨基固醇或植物磺胺信号传导
Identification of sample mix-ups and mixtures in microbiome data in Diversity Outbred mice,genetics,鉴定多样性小鼠微生物组数据中样品混合和混合物
Widespread latitudinal asymmetry in marginal population performance,ecology,边际人口绩效的广泛纬度不对称性
Chemogenetic inhibition of a monosynaptic projection from the basolateral amygdala to the ventral hippocampus reduces appetitive and consummatory alcohol drinking behaviors,neuroscience,从基底外侧杏仁核到腹侧海马的单突触投影的化学发生抑制可减少食欲和彻底的酒精饮酒行为
Thunor: Visualization and Analysis of High-Throughput Dose-response Datasets,pharmacology and toxicology,Thunor：高通量剂量响应数据集的可视化和分析
High-pass filtering artifacts in multivariate classification of neural time series data,neuroscience,神经时间序列数据的多元分类中的高通滤器数据
The HIV-1 ribonucleoprotein dynamically regulates its condensate behavior and drives acceleration of protease activity through membraneless granular phase separation,molecular biology,HIV-1核糖核蛋白动态调节其冷凝物行为，并通过膜无颗粒相分离驱动蛋白酶活性的加速
Long-term potentiation in neurogliaform cells modulates excitation-inhibition balance in the temporoammonic pathway,neuroscience,神经元图细胞中的长期增强可调节颞虫途径中的激发平衡
Individual tree-crown detection in RGB imagery using semi-supervised deep learning neural networks,ecology,使用半监督深度学习神经网络中RGB图像中的单个树冠检测
Multi-omic analyses reveal a role for mammalian CIC in cell cycle regulation and mitotic fidelity,cancer biology,多运动分析揭示了哺乳动物CIC在细胞周期调节和有丝分裂保真度中的作用
Network Inference with Granger Causality Ensembles on Single-Cell Transcriptomic Data,bioinformatics,与Granger因果关系的网络推断单细胞转录组数据
Multiple sources of Shh are critical for the generation and scaling of ventral spinal cord oligodendrocyte precursor populations.,developmental biology,SHH的多个来源对于腹侧脊髓少突胶质细胞前体种群的产生和缩放至关重要。
Microbial metabolism and adaptations in Atribacteria-dominated methane hydrate sediments,microbiology,微生物的代谢和阿特里比菌主导的甲烷水合物沉积物的适应
A Stomata Classification and Detection System in Microscope Images of Maize Cultivars,plant biology,玉米品种显微镜图像中的气孔分类和检测系统
A scalar Poincare map for struggling in Xenopus tadpoles,neuroscience,标量庞加罗地图，用于在Xenopus Tadpoles中挣扎
Protein appetite drives macronutrient-related differences in ventral tegmental area neural activity,neuroscience,蛋白质的食欲驱动大量营养素相关的腹侧换段区域神经活动的差异
"Dot1L-dependent H3K79 methylation facilitates histone variant H2A.Z exchange at DNA double strand breaks and is required for high fidelity, homology-directed DNA repair",molecular biology,依赖于DOT1L的H3K79甲基化促进了DNA双链断裂的组蛋白变体H2A.Z交换
Optical measurement of voltage sensing by endogenous ion channel,biophysics,内源离子通道对电压传感的光学测量
BLight: Efficient exact associative structure for k-mers,bioinformatics,疫病：K-Mers有效的精确关联结构
"Work Flows for Cellular Epidemiology, From Conception to Translation",physiology,从概念到翻译的细胞流行病学的工作流动
"Maize brace root mechanics vary by whorl, genotype, and reproductive stage",plant biology,玉米括号根机制因螺纹，基因型和生殖阶段而异
Urinary glucocorticoids in harbour seal (Phoca vitulina) pups during rehabilitation,zoology,康复期间，港口密封（Phoca Vitulina）幼崽中的尿糖皮质激素
The pharmacodynamic inoculum effect from the perspective of bacterial population modeling,pharmacology and toxicology,从细菌种群建模的角度来看，药效的接种效应
Opposing steroid signals modulate protein homeostasis through deep changes in fat metabolism in Caenorhabditis elegans,genetics,相反的类固醇信号通过秀丽隐杆线虫中脂肪代谢的深刻变化来调节蛋白质稳态
Traces of transposable element in genome dark matter co-opted by flowering gene regulation networks.,genomics,开花基因调节网络采用的基因组暗物质中可转座元件的痕迹。
Rabies virus with a destabilization domain added to its nucleoprotein spreads between neurons only if the domain is removed,neuroscience,狂犬病病毒具有不稳定结构域，仅当去除域时，在神经元之间添加了核蛋白扩散
