sentences,labels,sentences_zh
A multi-measure approach for assessing the performance of fMRI preprocessing strategies in resting-state functional connectivity,neuroscience,一种多余的方法，用于评估fMRI静止状态功能连接性中fMRI预处理策略的性能
Personalized single-cell networks: a framework to predict the response of any gene to any drug for any patient,systems biology,个性化的单细胞网络：预测任何患者对任何药物的反应的框架
PharmOmics: A Species- and Tissue-specific Drug Signature Database and Online Tool for Drug Repurposing,systems biology,药物：一种物种和组织特异性的药物签名数据库和用于药物重新利用的在线工具
A small-molecule antagonist for the Tudor domain of SMN disrupts the interaction between SMN and RNAP II,biochemistry,SMN的都铎王子结构域的小分子拮抗剂破坏了SMN和RNAP II之间的相互作用
Interrogating theoretical models of neural computation with emergent property inference,neuroscience,用新兴特性推断询问神经计算的理论模型
Metabolic signatures of regulation by phosphorylation and acetylation,systems biology,通过磷酸化和乙酰化调节的代谢特征
ERBB2 is a Key Mediator in Hearing Restoration in Noise-Deafened Young Adult Mice,neuroscience,ERBB2是听力恢复的关键调解人，聋哑成年小鼠
Privacy-preserving quality control of neuroimaging datasets in federated environments,neuroscience,在联合环境中，神经影像数据集的隐私质量控制
Long-term warming effects on the microbiome and nitrogen fixation of a common moss species in sub-Arctic tundra,microbiology,对亚北极苔原中常见苔藓物种的微生物组和氮固定的长期变暖影响
How to characterise shared space use networks,ecology,如何表征共享空间使用网络
The minimum land area requiring conservation attention to safeguard biodiversity,ecology,需要保护的最小土地面积，以保护生物多样性
"Astrocyte-like glia-specific gene deathstar is crucial for normal development, adult locomotion and lifespan of male Drosophila",genetics,星形胶质细胞样特异性基因死亡star对于雄性果蝇的正常发育，成人运动和寿命至关重要
Mesmerize: a dynamically adaptable user-friendly analysis platform for 2D & 3D calcium imaging data.,neuroscience,着迷：一个动态适应于2D和3D钙成像数据的用户友好分析平台。
Targeting cellular DNA damage responses in cancer: An in vitro-calibrated agent-based model simulating monolayer and spheroid treatment responses to ATR-inhibiting drugs,cancer biology,靶向癌症中细胞DNA损伤反应：基于体外校准的剂模型，模拟单层和球体治疗反应对ATR抑制药物
Characterising sensorimotor adaptation in Complex Regional Pain Syndrome,neuroscience,表征复杂区域疼痛综合征中的感觉运动适应
The genome of the zoonotic malaria parasite Plasmodium simium reveals adaptations to host-switching,genomics,人畜共患疟疾疟原虫类似物的基因组揭示了对宿主转换的适应
Circulating miR-181 is a prognostic biomarker for amyotrophic lateral sclerosis,neuroscience,循环miR-​​181是肌萎缩性侧硬化症的预后生物标志物
"Divergent sex-specific effects of an IgE receptor polymorphism: from immunity to health, and ultimately, fitness",ecology,IgE受体多态性的分歧性别特异性影响：从免疫到健康，最终适应性
Cellular Fitness Phenotypes of Cancer Target Genes from On-cobiology to Cancer Therapeutics,cancer biology,癌症靶基因从毕业生到癌症治疗剂的细胞适应性表型
A comprehensive survey of developmental programs reveals a dearth of tree-like lineage graphs and ubiquitous regeneration,developmental biology,对发展计划的全面调查揭示了像树状的谱系图和无处不在的再生
Advances in Spiral fMRI: A High-resolution Study with Single-shot Acquisition,neuroscience,螺旋fMRI的进步：一项高分辨率研究，单次获取
Evidence for shared ancestry between Actinobacteria and Firmicutes bacteriophages,genomics,肌细菌与企业噬菌体之间共同血统的证据
Inhibition of both mutant and wild-type RAS-GTP in KRAS G12C colorectal cancer through cotreatment with G12C and EGFR inhibitors,cancer biology,通过与G12C和EGFR抑制剂共治疗KRAS G12C大肠癌中突变体和野生型Ras-GTP的抑制
Automated identification of maximal differential cell populations in flow cytometry data,bioinformatics,在流式细胞仪数据中对最大差分细胞种群的自动鉴定
Beyond taxonomic identification: integration of ecological responses to a soil bacterial 16S rRNA gene database.,microbiology,除分类学识别外：对土壤细菌16S rRNA基因数据库的生态反应的整合。
Effective downregulation of BCR-ABL tumorigenicity by RNA targeted CRISPR-Cas13a,molecular biology,RNA靶向CRISPR-CAS13A对BCR-ABL肿瘤性的有效下调
Adaptive divergence in shoot gravitropism creates hybrid sterility in an Australian wildflower,evolutionary biology,射击引力中的自适应差异在澳大利亚野花中产生混合无菌性
Frequency selectivity of persistent cortical oscillatory responses to auditory rhythmic stimulation,neuroscience,持续性皮质振荡对听觉节奏刺激的频率选择性
Recombination and selection against introgressed DNA,evolutionary biology,重组和反对渗透的DNA的选择
Predictive Coding Models for Pain Perception,neuroscience,疼痛感知的预测编码模型
Differential robustness to specific potassium channel deletions in midbrain dopaminergic neurons,neuroscience,中脑多巴胺能神经元中特定钾通道缺失的差异鲁棒性
Strand asymmetry influences mismatch resolution during single-strand annealing,genomics,链不对称会影响单链退火期间的不对称分辨率
Rhomboid protease RHBDL4 promotes retrotranslocation of aggregation-prone proteins for degradation,cell biology,菱形蛋白酶rhbdl4促进聚集蛋白的逆转转换以降解
RAF conformational autoinhibition and 14-3-3 proteins promote paradoxical activation,cancer biology,RAF构象自身抑制和14-3-3蛋白会促进自相矛盾的激活
Integration of Odor-Induced Activity of Kenyon Cells in an Electrotonically Compact Drosophila Mushroom Body Output Neuron (MBON),neuroscience,电型果蝇蘑菇体输出神经元（Mbon）中气味诱导的肯尼因细胞活性的整合
Effects of dopamine receptor antagonism and amphetamine-induced psychomotor sensitization on sign- and goal-tracking after extended training,neuroscience,多巴胺受体拮抗和苯丙胺诱导的心理运动敏化对扩展训练后的标志和目标跟踪的影响
Barley RIC157 is involved in RACB-mediated susceptibility to powdery mildew,plant biology,大麦RIC157参与RACB介导的白粉病敏感性
Using single visits into integrated occupancy models to make the most of existing monitoring programs,ecology,利用对集成占用模型的访问来充分利用现有的监视程序
GraphProt2: A graph neural network-based method for predicting binding sites of RNA-binding proteins,bioinformatics,GraphProt2：一种基于图神经网络的方法，用于预测RNA结合蛋白的结合位点
Temperature-induced prophage dictates evolution of virulence in bacteria,evolutionary biology,温度引起的预言决定了细菌毒力的演变
Bacterial quorum sensing allows graded and bimodal cellular responses to variations in population density,microbiology,细菌群体传感允许对种群密度变化的分级和双峰细胞反应
Family History of Depression is Associated with Alterations in Task-Dependent Connectivity between the Cerebellum and Ventromedial Prefrontal Cortex,neuroscience,抑郁症家族史与小脑和腹侧前额叶皮层之间的任务依赖性连通性的改变有关
Predator complementarity dampens variability of phytoplankton biomass in a diversity-stability trophic cascade,ecology,捕食者互补性会抑制多样性稳定级联浮游植物生物量的变异性
Statistical power: implications for planning MEG studies,neuroscience,统计能力：对计划MEG研究的影响
Low membrane fluidity triggers lipid phase separation and protein segregation in vivo,microbiology,低膜流动性触发脂质相分离和体内蛋白质分离
Energy Expenditure during Cell Spreading Regulates the Stem Cells Responses to Matrix Stiffness,cell biology,细胞扩散期间的能量消耗调节干细胞对基质刚度的响应
The neural computation of human prosocial choices in complex motivational states,neuroscience,复杂动机状态中人类亲社会选择的神经计算
Distinct Processing of Selection and Execution Errors in Neural Signatures of Outcome Monitoring,neuroscience,在结果监测的神经签名中选择和执行错误的独特处理
Face familiarity detection with complex synapses,neuroscience,面对复杂突触的熟悉度检测
The metastable brain associated with autistic-like traits of typically developing individuals,neuroscience,与典型发展个体的自闭症特征相关的亚稳态大脑
Electrode pooling: How to boost the yield of switchable silicon probes for neuronal recordings,neuroscience,电极合并：如何提高神经元记录的可切换硅探针的产量
Constricted migration is associated with stable 3D genome structure differences in cancer cells,systems biology,狭窄的迁移与稳定的3D基因组结构在癌细胞中的差异有关
"Multi-Study Learning for Real-time Neurochemical Sensing in Humans using the ""Study Strap Ensemble""",neuroscience,使用“研究表带集合”的人类实时神经化学感测的多研究学习
"Linear reinforcement learning: Flexible reuse of computation in planning, grid fields, and cognitive control",neuroscience,线性增强学习：在计划，网格场和认知控制中的计算灵活重复使用
Network potential identifies therapeutic miRNA cocktails in Ewings Sarcoma,systems biology,网络潜力识别ewings肉瘤中的治疗miRNA鸡尾酒
Dopamine and stress signalling interplay patterns social organization in mice,animal behavior and cognition,多巴胺和压力信号交互模式社会组织中的社会组织
Mapping Human Pluripotent Stem Cell Derived Erythroid Differentiation by Single-Cell Transcriptome Analysis,developmental biology,通过单细胞转录组分析绘制人类多能干细胞衍生的红细胞分化
Bacterial lipopolysaccharide induces settlement and metamorphosis in a marine larva,ecology,细菌脂多糖诱导海洋幼虫的沉降和变形
Cascading Epigenomic Analysis for Identifying Disease Genes from the Regulatory Landscape of GWAS Variants,bioinformatics,从GWAS变体的调节景观中鉴定疾病基因的级联表观基因组分析
"Genetic Association Study of Childhood Aggression across raters, instruments and age",genomics,跨评估者，工具和年龄跨越儿童侵略的遗传关联研究
Constitutively enhanced genome integrity maintenance and direct stress mitigation characterize transcriptome of extreme stress-adapted Arabidopsis halleri,plant biology,构成性增强基因组完整性维持和直接压力缓解表征了极端压力适应的拟南芥的转录组
BitEpi: A Fast and Accurate Exhaustive Higher-Order Epistasis Search,bioinformatics,bitepi：快速准确的详尽的高阶上学搜索
"A cross-nearest neighbor/Monte Carlo algorithm for single molecule localization microscopy defines interactions between p53, Mdm2, and MEG3",cell biology,用于单分子定位显微镜的跨近期邻居/蒙特卡洛算法定义了p53，MDM2和MEG3之间的相互作用
Astral microtubule crosslinking by Feo safeguards uniform nuclear distribution in the Drosophila syncytium,cell biology,果蝇合胞体中FEO保障均匀核分布的星体微管交联
Advancing motion denoising of multiband resting state functional connectivity fMRI data,neuroscience,推进运动静态状态功能连接fMRI数据的运动降级
17q21.31 sub-haplotypes underlying H1-associated risk for Parkinsons disease are associated with LRRC37A/2 expression in astrocytes,neuroscience,17Q21.31帕金森氏病与H1相关风险的基础型子型与星形胶质细胞中的LRRC37A/2表达有关
Accurate modeling of replication rates in genome-wide association studies by accounting for winner's curse and study-specific heterogeneity,bioinformatics,通过考虑获奖者的诅咒和特定研究的异质性，对全基因组关联研究的复制率进行准确建模
"Comparative population genetic structure of two ixodid tick species (Ixodes ovatus and Haemaphysalis flava) in Niigata Prefecture, Japan",genetics,日本尼加塔县的两个ixodid tick物种（ixodes ovatus and haemaphysalis flava）的比较种群遗传结构
The CDK8 inhibitor DCA promotes a tolerogenic chemical immunophenotype in CD4+ T cells via a novel CDK8-GATA3-FOXP3 pathway,immunology,CDK8抑制剂DCA通过新型CDK8-GATA3-FOXP3途径促进CD4+ T细胞中的耐受性化学免疫表型
Neural Fragility as an EEG Marker of the Seizure Onset Zone,neuroscience,神经脆弱性作为癫痫发作区的脑电图标记
Corollary Discharge Promotes a Sustained Motor State in a Neural Circuit for Navigation,neuroscience,推论排放促进神经回路中持续的运动状态进行导航
Decay and damage of therapeutic phage OMKO1 by environmental stressors,microbiology,环境压力源的治疗噬菌体OMKO1的衰减和损害
Spike-timing-dependent plasticity rewards synchrony rather than causality,neuroscience,依赖于峰值的可塑性奖励同步而不是因果关系
Discoidin domain receptor 2 drives melanoma drug resistance through AXL-dependent phenotype switching,cancer biology,盘状结构域受体2通过AXL依赖的表型切换驱动黑色素瘤耐药性
Chromatin-accessibility estimation of single-cell ATAC data with scOpen,bioinformatics,单细胞ATAC数据的染色质吸收性估计带有scopen
Base-pair resolution analysis of the effect of supercoiling on DNA flexibility and major groove recognition by triplex-forming oligonucleotides,biophysics,碱基对分辨率分析超螺旋对DNA柔韧性的影响和通过三核苷酸的主要凹槽识别
Grapevine rootstocks affect growth-related scion phenotypes,plant biology,葡萄茎茎影响与生长有关的接触表型
Dopamine differentially modulates the size of projection neuron ensembles in the intact and dopamine-depleted striatum,neuroscience,多巴胺差异调节了完整和多巴胺的纹状体中投影神经元合奏的大小
"Plant size, leaf economics, and their diversity are strong controls of tundra carbon cycling",ecology,植物尺寸，叶子经济学及其多样性是苔原碳循环的强大控制
Antagonistic plants preferentially target arbuscular mycorrhizal fungi that are highly connected to mutualistic plants,ecology,拮抗植物优先靶向高度连接到相互植物的羊膜菌根真菌
Differential tolerance of Zymoseptoria tritici to altered optimal moisture conditions during the early stages of wheat infection,microbiology,小麦感染的早期阶段，扎孔塞普利亚对最佳水分条件的差异耐受性
Characterization and rescue by oxytocin of an atypical thermo-sensory reactivity in neonatal mice lacking the autism-associated gene Magel2.,neuroscience,催产素在缺乏自闭症相关基因magel2的新生小鼠中的非典型热敏感反应性的表征和营救。
A novel cis regulatory element regulates human XIST in CTCF-dependent manner,genomics,新型的顺式调节元件以CTCF依赖性方式调节人类XIST
Analytical solution of linearized equations of the Morris-Lecar neuron model at large constant stimulation,neuroscience,莫里斯 - 莱卡神经元模型线性方程的分析解，在大恒定刺激下
Clumpy coexistence in phytoplankton: The role of functional similarity in community assembly,ecology,浮游植物中的块状共存：功能相似性在社区集会中的作用
SpecHap: a diploid phasing algorithm based on spectral graph theory,bioinformatics,SpecHap：基于光谱图理论的二倍体相位算法
Comparative proximity biotinylation implicates RAB18 in cholesterol mobilization and biosynthesis,cell biology,比较亲近生物素化含义Rab18在胆固醇动员和生物合成中
The Euler Characteristic and Topological Phase Transitions in Complex Systems,biophysics,复杂系统中的Euler特性和拓扑相变
"Predicting transmembrane protein-protein complexes: TransINT, a novel computational approach",bioinformatics,预测跨膜蛋白 - 蛋白质复合物：Transint，一种新型的计算方法
Disentangling spatial and environmental effects: flexible methods for community ecology and macroecology,ecology,解开空间和环境影响：社区生态学和宏观生态学的灵活方法
Framework to simulate gene regulatory networks with stochastic molecular kinetics and to infer steady-state network structure,systems biology,用随机分子动力学模拟基因调节网络并推断稳态网络结构的框架
Reward value revealed by auction in rhesus monkeys,animal behavior and cognition,恒河猴拍卖会揭示的奖励价值
"Chr21 protein-protein interactions: enrichment in products involved in intellectual disabilities, autism and Late Onset Alzheimer Disease",neuroscience,CHR21蛋白质 - 蛋白质相互作用：涉及智障，自闭症和晚期阿尔茨海默氏病的产品的富集
A modular RNA interference system for multiplexed gene regulation,synthetic biology,多路复用基因调控的模块化RNA干扰系统
Helping those who help others for indirect fitness benefits not indirect reciprocity,evolutionary biology,帮助那些帮助他人间接健身的人，而不是间接互惠
Modeling uniquely human gene regulatory function in humanized mice,genomics,在人源化小鼠中对人类基因调节功能进行建模
Electron transfer proteins in gut bacteria yield metabolites that circulate in the host,microbiology,肠道细菌中的电子转移蛋白产生宿主循环的代谢产物
Integration of immunome with disease-gene network reveals common cellular mechanisms between IMIDs and drug repurposing strategies,bioinformatics,免疫组与疾病 - 基因网络的整合揭示了IMID和药物重新利用策略之间的常见细胞机制
Cavefish cope with environmental hypoxia by developing more erythrocytes and overexpression of hypoxia inducible genes,developmental biology,山洞鱼通过开发更多的红细胞和低氧诱导基因的过表达来应对环境缺氧
"Combining Focal-ERG, Fluorescein Angiography, and SD-OCT for Retinal Neurovascular Analysis in a Mouse OIR-Model.",neuroscience,在小鼠OIR模型中结合焦点，荧光素血管造影和SD-OCT，用于视网膜神经血管分析。
Unconventional kinetochore kinases KKT2 and KKT3 have unique centromere localization domains,cell biology,非常规的动力学激酶KKT2和KKT3具有独特的Centromere定位域
Deriving Ranges of Optimal Estimated Transcript Expression Due to Non-identifiability,bioinformatics,由于非可识别性而导致的最佳估计转录表表达式范围
SEC is an anti-angiogenic virulence factor that promotes Staphylococcus aureus Infective Endocarditis Independent of Superantigen Activity,microbiology,SEC是一种抗血管生成的毒力因子，促进金黄色葡萄球菌感染性心内膜炎与超抗原活性无关
HIV corruption of the Arp2/3-Cdc42-IQGAP1 axis to hijack cortical F-Actin to promote cell-cell viral spread.,microbiology,ARP2/3-CDC42-IQGAP1轴对劫持皮质F-肌动蛋白的HIV腐败以促进细胞细胞病毒扩散。
Cortical control of virtual self-motion using task-specific subspaces,neuroscience,使用特定于任务的子空间对虚拟自我运动的皮质控制
Spergulin-A strives intra-macrophage leishmanicidal activity by regulating the host P2X7R-P38MAPK axis,molecular biology,Spergulin-A通过调节宿主P2X7R-P38MAPK轴来攻击巨噬细胞内利什曼果活性
Is N-Hacking Ever OK? A Simulation-based study,scientific communication and education,n黑客还可以吗？基于模拟的研究
Characteristics of mathematical modeling languages that facilitate model reuse in systems biology: A software engineering perspective,systems biology,数学建模语言的特征，促进系统生物学中的模型重用：软件工程观点
Amyloid-like aggregates cause lysosomal defects in neurons via gain-of-function toxicity,cell biology,淀粉样蛋白样的聚集体通过功能获得的毒性引起神经元的溶酶体缺陷
Use of the p-value as a size-dependent function to address practical differences when analyzing large datasets,bioinformatics,在分析大数据集时，将p值用作尺寸依赖性函数来解决实际差异
Foster thy young: Enhanced prediction of orphan genes in assembled genomes,bioinformatics,寄养你的年轻人：组装基因组中孤儿基因的预测增强
Offline tDCS modulates prefrontal cortical-subcortical cerebellar fear pathways in delayed fear extinction,neuroscience,离线TDCS调节前额叶皮质皮质毛皮小脑恐惧途径延迟恐惧灭绝
Integrative analysis of the plasma proteome and polygenic risk of cardiometabolic diseases,genetics,血浆蛋白质组和心脏代谢性疾病的多基因风险的综合分析
A role for the locus coeruleus in the modulation of feeding,neuroscience,基因座层的作用在调制饲料中
Theta activity paradoxically boosts gamma and ripple frequency sensitivity in prefrontal interneurons,neuroscience,theta活性矛盾地增强了前额外神经元中的伽玛和连锁频率灵敏度
"Relationships between community composition, productivity and invasion resistance in semi-natural bacterial microcosms",ecology,半自然细菌缩影中社区组成，生产率和耐药性之间的关系
Mismatch responses mediated by adaptation and deviance detection have complementary functional profiles that point to different auditory short-term memory systems,neuroscience,通过适应和偏差检测介导的不匹配响应具有互补的功能曲线，指向不同的听觉短期记忆系统
A neurocomputational model for intrinsic reward,neuroscience,一种内在奖励的神经计算模型
Enrichment of Skeletal Stem Cells from Human Bone Marrow Using Spherical Nucleic Acids,cell biology,使用球形核酸从人骨髓中富集骨骼干细胞
α-Phenylalanyl tRNA synthetase attenuates Notch signaling by competing with Notch through its N-terminal domain,cell biology,α-苯基丙酰基TRNA合成酶通过通过其N末端结构域与Notch竞争，从而减弱Notch信号传导
Tracking dynamic adjustments to decision making and performance monitoring processes in conflict tasks,neuroscience,跟踪冲突任务中决策和绩效监控过程的动态调整
Hippocampus and amygdala fear memory engrams re-emerge after contextual fear relapse,neuroscience,海马和杏仁核恐惧记忆engrams在上下文恐惧复发后重新出现
The evolutionary origins of extreme halophilic Archaea,microbiology,极端卤素古细菌的进化起源
Interpretable machine learning models for single-cell ChIP-seq imputation,bioinformatics,单细胞芯片插入的可解释的机器学习模型
Dnmt3a knockout in excitatory neurons impairs postnatal synapse maturation and is partly compensated by repressive histone modification H3K27me3,neuroscience,兴奋性神经元中的DNMT3A敲除损害出生后突触的成熟，部分通过抑制性组蛋白修饰H3K27ME3进行了补偿
TENET: Gene network reconstruction using transfer entropy reveals key regulatory factors from single cell transcriptomic data,bioinformatics,宗旨：使用转移熵的基因网络重建揭示了单细胞转录组数据中的关键调节因素
Single cell transcriptomic analysis identifies Langerhans cells immunocompetency is critical for ability to induce tolerogenic T cells.,systems biology,单细胞转录组分析鉴定了Langerhans细胞的免疫能力对于诱导耐受性T细胞的能力至关重要。
A dynamic normalization model of temporal attention,neuroscience,时间注意的动态归一化模型
Multimodal Learning of Pheromone Locations,neuroscience,信息素位置的多模式学习
Discovery of dual inhibitors of KPC-3 and KPC-15 of Klebsiella pneumoniae :an in-silico molecular docking and dynamics study,bioinformatics,发现KPC-3和KPC-15的双重抑制剂Klebsiella肺炎：一种内部分子对接和动力学研究
SSnet: A Deep Learning Approach for Protein-Ligand Interaction Prediction,bioinformatics,SSNET：蛋白质 - 配体相互作用预测的深度学习方法
Influence of native endophytic bacteria on the growth and bacterial crown rot tolerance of papaya (Carica papaya),plant biology,天然内生细菌对木瓜（Carica Papaya）的生长和细菌冠状耐受性的影响
"Adenosine receptor and its downstream targets, mod(mdg4) and Hsp70, work as a signaling pathway modulating cytotoxic damage in Drosophila",genetics,腺苷受体及其下游靶标MOD（MDG4）和HSP70作为信号通路，可调节果蝇中细胞毒性损伤
OBERON3 and SUPPRESSOR OF MAX2 1-LIKE proteins form a regulatory module specifying phloem identity,plant biology,Oberon3和Max2 1类蛋白的抑制剂形成一个调节模块，指定韧皮部身份
Model balancing: in search of consistent metabolic states and in-vivo kinetic constants,systems biology,模型平衡：寻找一致的代谢状态和体内动力学常数
Two distinct bacterial biofilm components trigger metamorphosis in the colonial hydrozoan Hydractinia echinata,ecology,两种不同的细菌生物膜成分触发殖民氢化菌中的hydractinia echinata触发变态
Donut-like organization of inhibition underlies categorical neural responses in the midbrain,neuroscience,中脑的抑制类似甜甜圈抑制组织分类神经反应的基础
Single cell transcriptome analysis reveals RGS1 as a new marker and promoting factor for T cell exhaustion in multiple cancers,cancer biology,单细胞转录组分析揭示了RGS1是多种癌症中T细胞耗尽的新标记和促进因子
The making of calibration sausage exemplified by recalibrating the transcriptomic timetree of jawed vertebrates,evolutionary biology,通过重新校准颌脊椎动物的转录时间表来体现校准香肠的制作
Optimal evolutionary control for artificial selection on molecular phenotypes,evolutionary biology,对分子表型的人工选择的最佳进化控制
Evidence for novel transient cell clusters in the neonatal mouse retina,neuroscience,新生小鼠视网膜中新型短暂细胞簇的证据
Evolution of olfactory receptors tuned to mustard oils in herbivorous Drosophilidae,evolutionary biology,在食草果蝇中调整为芥末油的嗅觉受体的演变
Organelle specific protein profiling with light mediated proximal labeling in living cells,biochemistry,细胞器特异性蛋白质分析，在活细胞中带有光介导的近端标记
NanoCaller for accurate detection of SNPs and indels in difficult-to-map regions from long-read sequencing by haplotype-aware deep neural networks,bioinformatics,纳米呼叫仪，可准确检测出从单倍型感知的深度神经网络中的长阅读测序中难以映射区域中的SNP和indels
