sentences,labels,sentences_zh
Mitogen-activated protein kinase activity drives cell trajectories in colorectal cancer,cancer biology,有丝分裂原激活的蛋白激酶活性驱动结直肠癌的细胞轨迹
Highly Multiplexed Single-Cell Full-Length cDNA Sequencing of human immune cells with 10X Genomics and R2C2,genomics,具有10倍基因组和R2C2的人类免疫细胞的高度多重单细胞全长cDNA测序
Music-selective neural populations arise without musical training,neuroscience,音乐选择性神经种群在没有音乐训练的情况下出现
Differential contributions of synaptic and intrinsic inhibitory currents to speech segmentation via flexible phase-locking in neural oscillators,neuroscience,突触和固有抑制电流对语音分割的差异贡献通过神经振荡器中的柔性相锁定
Calcium-independent astrocytic lipid release modulates neuronal excitability,neuroscience,独立于钙的星形胶质细胞脂质释放调节神经元兴奋性
A population-level statistic for assessing Mendelian behavior of genotyping-by-sequencing data from highly duplicated genomes,bioinformatics,人口级统计量，用于评估来自高度重复基因组的基因分型数据的孟德尔行为
Engram reactivation during memory retrieval predicts long-term memory performance in aged mice,neuroscience,记忆检索期间的Engram重新激活可预测老年小鼠的长期记忆表现
Structural analysis of Sulfolobus solfataricus TF55β chaperonin in open and filamentous states,biophysics,在开放式和丝状状态下的磺胺溶液TF55β伴侣蛋白的结构分析
Increased fronto-temporal connectivity by modified melody in real music,neuroscience,在真实音乐中修饰的旋律提高了额快的连通性
Species coexistence in resource-limited patterned ecosystems is facilitated by the interplay of spatial self-organisation and intraspecific competition,ecology,空间自我组织和种内竞争的相互作用促进了资源有限的图案生态系统中的物种共存
Evolutionary and ecological processes influencing chemical defense variation in an aposematic and mimetic Heliconius butterfly,evolutionary biology,进化和生态过程影响了序言和模拟Heliconius蝴蝶的化学防御变化
Phosphatidylinositol Acyl Chains Configure Priming and Activation of the NLRP3 Inflammasome,immunology,磷脂酰肌醇酰基链构型和NLRP3炎症体的激活
Cell competition acts as a purifying selection to eliminate cells with mitochondrial defects during early mouse development,developmental biology,细胞竞争是一种纯化的选择，以消除早期小鼠发育过程中线粒体缺陷的细胞
Conceptual knowledge affects early stages of visual mental imagery and object perception,neuroscience,概念知识会影响视觉心理图像和对象感知的早期阶段
Efficient Coding in the Economics of Human Brain Connectomics,neuroscience,人脑连接经济学经济学的有效编码
A Connectivity-based Psychometric Prediction Framework for Brain-behavior Relationship Studies,neuroscience,基于连通性的心理测定预测框架脑行为关系研究
Modular and distinct PlexinA4/Farp2/Rac1 signaling controls dendrite morphogenesis,neuroscience,模块化和独特的Plexina4/farp2/rac1信号传导控制树突形态发生
De novo learning versus adaptation of continuous control in a manual tracking task,neuroscience,在手动跟踪任务中，从头学习与连续控制的适应
Positive selection and gene duplications in tumour suppressor genes reveal clues abouthow cetaceans resist cancer,evolutionary biology,肿瘤抑制基因中的阳性选择和基因重复揭示了线索，恰如其分的鲸类动物抵抗癌症
Regeneration in adult Drosophila brain,neuroscience,成人果蝇大脑的再生
The hippocampal formation as a hierarchical generative model supporting generative replay and continual learning,neuroscience,海马形成是一种层次生成模型，支持生成重播和持续学习
Flight demand and environmental niche are associated with molecular evolutionary rates in a large avian radiation,evolutionary biology,飞行需求和环境利基市场与大型鸟类辐射中的分子进化率有关
Genetic population structure constrains local adaptation in sticklebacks,evolutionary biology,遗传种群结构限制了稳态的局部适应
Chronic Staphylococcus aureus infection is cured by theory-driven therapy,systems biology,金黄色葡萄球菌感染通过理论驱动的疗法治愈
Virtual connectomic datasets in Alzheimer's Disease and aging using whole-brain network dynamics modelling,neuroscience,阿尔茨海默氏病和使用全脑网络动力学建模的虚拟连接数据集和衰老
A role for reward valuation in the serotonergic modulation of impulsivity,neuroscience,在冲动性的血清素能调节中奖励估值的作用
DNA damage and macrophage infiltration in the ovaries of the long-lived GH deficient Ames Dwarf and the short-lived bGH transgenic mice,physiology,长期寿命GH缺乏的Ames矮人和短寿命的BGH转基因小鼠的卵巢中的DNA损伤和巨噬细胞浸润
"A simple, cheap, and robust protocol for the identification of mating type in Saccharomyces cerevisiae",microbiology,一种简单，便宜且健壮的协议，用于识别酿酒酵母中的交配类型
Genome-wide discovery of lupus genetic risk variant allelic regulatory activity,genomics,狼疮遗传风险变异等位基因调节活性的全基因组发现
A morphological trait involved in reproductive isolation between Drosophila sister species is sensitive to temperature,evolutionary biology,果蝇姊妹物种之间涉及生殖隔离的形态学特征对温度敏感
Ribosome heterogeneity in Drosophila melanogaster gonads through paralog-switching,biochemistry,果蝇果蝇中的核糖体异质性通过旁系同源性开关
A signal of competitive dominance in mid-latitude herbaceous plant communities,ecology,中纬度草本植物社区中竞争优势的信号
Description of a widespread bacterial secretion system with chemically diverse substrates,microbiology,用化学多样的底物的广泛细菌分泌系统的描述
Desmosomes polarize mechanical signaling to govern epidermal tissue form and function,cell biology,脱骨小体极化机械信号传导以控制表皮组织形式和功能
Use of high-refractive index hydrogels and tissue clearing for large biological sample imaging,pathology,大型生物样品成像的高反射指数水凝胶和组织清除
Evidence of Absence Regression: A Binomial N-Mixture Model for Estimating Fatalities at Wind Power Facilities,ecology,缺席回归的证据：估计风力设施死亡的二项式N混合模型
Development of early postnatal inhibitory function in the mouse medial prefrontal and primary somatosensory cortex,neuroscience,在小鼠内侧前额叶和原发性体感皮质中的早期产后抑制功能的发展
Not only compulsivity: The SAPAP3-KO mouse reconsidered as a comorbid model expressing a spectrum of pathological repetitive behaviors.,neuroscience,不仅强迫性：SAPAP3-KO小鼠重新考虑为表达一系列病理性重复行为的合并症模型。
Disentangling the roles of neocortical alpha/beta and hippocampal theta/gamma oscillations in human episodic memory formation,neuroscience,解开新皮层α/β和海马theta/伽马振荡在人类情节记忆形成中的作用
Short hydrogen bonds enhance non-aromatic protein-related fluorescence,biophysics,短氢键增强了非芳族蛋白质相关荧光
Prolonged disturbance of proteostasis induces cellular senescence via temporal mitochondrial dysfunction and enhanced mitochondrial biogenesis in human fibroblasts,cell biology,长时间的蛋白质症疾病通过颞下部功能障碍诱导细胞衰老，并在人成纤维细胞中增强的线粒体生物发生
Establishment of a Human RNA Pol II Pausing System and the Identification of O-GlcNAc Cycling Regulating Pol II Pausing and Elongation,biochemistry,建立人RNA Pol II暂停系统，并识别O-GlcNAC循环调节Pol II暂停和伸长
Entropy of city street networks linked to future spatial navigation ability,neuroscience,与未来的空间导航能力相关的城市街网络的熵
Single molecule imaging reveals the collective and independent search mechanisms of cFos and cJun on DNA,biochemistry,单分子成像揭示了DNA上CFO和CJUN的集体和独立搜索机制
Climate change will drive novel cross-species viral transmission,ecology,气候变化将推动新颖的跨物种病毒传播
Adaptive divergence generates distinct plastic responses in two closely related Senecio species,evolutionary biology,自适应差异在两个密切相关的塞内西奥物种中产生独特的塑性反应
TMEM184b is necessary for IL-31 induced itch,neuroscience,TMEM184B对于IL-31诱导的瘙痒是必需的
Schizophrenia Risk Alleles Often Affect The Expression of Many Genes and Each Gene May Have a Different Effect On The Risk; A Mediation Analysis.,genetics,精神分裂症的风险等位基因通常会影响许多基因的表达，每个基因可能对风险有不同的影响。调解分析。
Are skyline plot-based demographic estimates overly dependent on smoothing prior assumptions?,genetics,基于天际线的人口统计学估计是否过于取决于平滑先前的假设？
Epithelial-to-mesenchymal transition proceeds through directional destabilization of multidimensional attractor,biophysics,上皮到间质转变通过多维吸引子的定向不稳定进行
Contrasting Effects of Western vs. Mediterranean Diets on Monocyte Inflammatory Gene Expression and Social Behavior in a Primate Model,genomics,西方与地中海饮食对灵长类动物模型中单核细胞炎症基因表达和社会行为的对比影响
MazeMaster: an open-source Python-based software package for controlling virtual reality experiments,neuroscience,Mazemaster：一个基于Python的开源软件包，用于控制虚拟现实实验
Abnormal center of mass control during balance: a new biomarker of falls in people with Parkinson's disease,neuroscience,平衡期间的质量控制异常中心：帕金森氏病患者跌倒的新生物标志物
Evaluation of DNA extraction protocols from liquid-based cytology specimens for studying cervical microbiota,microbiology,从基于液体的细胞学样本中评估DNA提取方案，用于研究宫颈微生物群
Between-subject prediction reveals a shared representational geometry in the rodent hippocampus,neuroscience,受试者间预测揭示了啮齿动物海马中的共享代表性几何形状
Energetics of stochastic BCM type synaptic plasticity and storing of accurate information,neuroscience,随机BCM型突触可塑性和准确信息的存储的能量学
Extreme hot weather has stronger impacts on avian reproduction in forests than in cities,ecology,极端炎热的天气对森林的鸟类繁殖的影响要比城市更强烈
The Landscape of Precision Cancer Combination Therapy: A Single-Cell Perspective,bioinformatics,精确癌症联合疗法的景观：单细胞视角
eQTL Catalogue: a compendium of uniformly processed human gene expression and splicing QTLs,genomics,EQTL目录：统一处理的人基因表达和剪接QTL的纲要
The histone variant macroH2A1.1 regulates RNA Polymerase II paused genes within defined chromatin interaction landscapes.,genomics,组蛋白变体MacRoH2A1.1调节定义的染色质相互作用景观中暂停的RNA聚合酶II暂停基因。
Learning to Integrate an Artificial Sensory Device: Early Bayesian Integration and Conscious Perception,neuroscience,学习整合人造感官设备：早期的贝叶斯整合和有意识的感知
Dynamic landscape of protein occupancy across the Escherichia coli chromosome,systems biology,大肠杆菌染色体蛋白质占用率的动态景观
Insights into Cross-species Evolution of Novel Human Coronavirus SARS-CoV-2 and Defining Immune Determinants for Vaccine Development,microbiology,对新型人冠状病毒SARS-COV-2的跨物种演变的见解，并定义了疫苗发育的免疫决定因素
Interpretable detection of novel human viruses from genome sequencing data,bioinformatics,从基因组测序数据中对新的人类病毒的可解释检测
Loss and recovery of transcriptional plasticity after long-term adaptation to global change conditions in a marine copepod,evolutionary biology,长期适应海军陆战队中全球变化条件后，转录可塑性的丧失和恢复
CopyMix: Mixture Model Based Single-Cell Clustering and Copy Number Profiling using Variational Inference,bioinformatics,Copymix：基于混合模型的单细胞聚类和拷贝数分析，使用变异推理
Arginine-vasopressin mediates counter-regulatory glucagon release and is diminished in type 1 diabetes,cell biology,精氨酸 - 瓦asopressin介导反调节胰高血糖素的释放，并在1型糖尿病中减少
Fitting drift-diffusion decision models to trial-by-trial data,animal behavior and cognition,将漂移扩散决策模型拟合到试用数据
Semantic and Prosodic Threat Processing in Trait Anxiety.,neuroscience,性状焦虑中的语义和韵律威胁处理。
Understanding population structure in an evolutionary context: population-specific FST and pairwise FST,evolutionary biology,了解进化环境中的人口结构：特定于人群的FST和成对FST
Sharing mating opportunities by coalition males in stump-tailed macaques: elucidation of ecological mechanism by diversion of PvS model,animal behavior and cognition,在树桩尾猕猴中与联盟男性共享交配机会：通过PVS模型的转移来阐明生态机制
GAMIBHEAR: whole-genome haplotype reconstruction from Genome Architecture Mapping data,bioinformatics,Gamibhear：基因组架构映射数据的全基因组单倍型重建
Further perceptions of probability: in defence of trial-by-trial estimation models,animal behavior and cognition,对概率的进一步看法：捍卫逐审估计模型
"The context dependent effects of host competence, competition, and the pathogen transmission mode on disease prevalence",ecology,宿主能力，竞争和病原体传播模式对疾病患病率的背景依赖性影响
A Self-Attention Model for Inferring Cooperativity between Regulatory Features,genomics,一个自我注意的模型，用于推断监管特征之间的合作性
Non-negative Independent Factor Analysis disentangles discrete and continuous sources of variation in scRNA-seq data,bioinformatics,非负独立因素分析删除SCRNA-SEQ数据中离散和连续变化来源
Aquatic microbial community is partially functionally redundant: insights from an in situ reciprocal transplant experiment,ecology,水生微生物群落在部分功能上是多余的：来自原位相互移植实验的见解
CLOCK-induced upregulated HMGB1 resulting in circadian rhythms disruption of inflammatory microglia contributes to non-dipper hypertension in stressed rats,physiology,时钟引起的上调HMGB1导致昼夜节律破坏炎症性小胶质细胞有助于压力大鼠的非dipper高血压
Godanti Bhasma (anhydrous CaSO4) induces massive cytoplasmic vacuolation and cell survival response through stimulation of LC3 Associated Phagocytosis (LAP),cell biology,Godanti Bhasma（无水caso4）通过刺激LC3相关的吞噬作用（LAP）诱导大量的细胞质空泡和细胞存活反应
Macrophage Scavenger Receptor 1 mediates lipid-induced inflammation in non-alcoholic fatty liver disease,immunology,巨噬细胞清道夫受体1介导非酒精性脂肪肝病中脂质诱导的炎症
Functional Role of Second Heart Field-derived Cells in Aortic Integrity in Mice,pathology,第二个心脏场衍生细胞在小鼠主动脉完整性中的功能作用
Optimal anticipatory control as a theory of motor preparation: a thalamo-cortical circuit model,neuroscience,作为运动制备理论的最佳预期控制：丘脑皮层电路模型
Impact of immediate cryopreservation on the establishment of patient derived xenografts from head and neck cancer patients.,cancer biology,立即冷冻保存对头部和颈部癌患者衍生的异种移植的患者的影响。
The hidden cost of receiving favors: A theory of indebtedness,neuroscience,收到青睐的隐藏成本：债务理论
The parasite Schistocephalus solidus secretes proteins with putative host manipulation functions,genomics,寄生虫固体固体分泌具有假定宿主操纵功能的蛋白质
Hnrnpul1 loss of function affects skeletal and limb development,developmental biology,HNRNPUL1功能丧失会影响骨骼和肢体发育
Association of CDH11 with ASD revealed by matched-gene co-expression analysis and mouse behavioral studies,neuroscience,通过匹配的基因共表达分析和小鼠行为研究揭示了CDH11与ASD的关联
EMBER: Multi-label prediction of kinase-substrate phosphorylation events through deep learning,bioinformatics,Ember：通过深度学习对激酶 - 基底磷酸化事件的多标签预测
Bidirectional synaptic plasticity rapidly modifies hippocampal representations,neuroscience,双向突触可塑性迅速改变了海马表示
When to depart from a stopover site? Time-since-arrival matters more than current weather conditions,ecology,什么时候离开中途停留地点？时间 - 时间比当前的天气状况更重要
Depletion of nuclear pore protein NUP210 suppresses metastasis through heterochromatin-mediated disruption of tumor cell mechanical response,cancer biology,核孔蛋白NUP210的耗竭可通过异染色质介导的肿瘤细胞机械反应的破坏抑制转移
"Random access DNA memory in a scalable, archival file storage system",bioengineering,随机访问DNA存储器在可扩展的档案文件存储系统中
Highly replicated evolution of parapatric ecotypes,evolutionary biology,副型生态型的高度复制的演变
Phenotypic and genotypic parallel evolution in parapatric ecotypes of Senecio,evolutionary biology,Senecio的副生态型中的表型和基因型平行演化
Shape matters: the relationship between cell geometry and diversity in phytoplankton,ecology,形状问题：浮游植物的细胞几何形状与多样性之间的关系
Dynamic control of visually-guided locomotion through cortico-subthalamic projections,neuroscience,通过皮质 - 背河丘脑投影对视觉引导的运动的动态控制
Persistent increases of PKMζ in memory-activated neurons trace LTP maintenance during spatial long-term memory storage,neuroscience,在空间长期存储器存储期间，记忆激活神经元中PKMζ的持续增加
Multi-scale planning helps resolve global conservation needs with regional priorities,ecology,多尺度计划有助于解决全球保护需求，并有区域优先级
"Dynamic, adaptive sampling during nanopore sequencing using Bayesian experimental design",genomics,纳米孔测序期间使用贝叶斯实验设计的动态自适应抽样
Rational arbitration between statistics and rules in human sequence processing,neuroscience,人类序列处理中统计和规则之间的合理仲裁
Climate predicts geographic and temporal variation in mosquito-borne disease dynamics on two continents,ecology,气候预测两个大洲蚊子传播疾病动力学的地理和时间变化
Depletion of glycosaminoglycans decreases contact stiffness of single collagen I fibrils in aqueous solution,biophysics,糖胺聚糖的耗竭降低了水溶液中单胶原I纤维的接触刚度
Mechanisms underlying the cooperation between loss of epithelial polarity and Notch signaling during neoplastic growth in Drosophila,developmental biology,果蝇肿瘤生长过程中上皮极性丧失与缺口信号传导之间合作的机制
Sparse latent factor regression models for genome-wide and epigenome-wide association studies,bioinformatics,全基因组和全基因组关联研究的稀疏潜在因子回归模型
Post-copulatory sexual selection is associated with sperm aggregate quality in Peromyscus mice,evolutionary biology,术后性选择与Peromyscus小鼠的精子质量有关
Reference-free reconstruction and quantification of transcriptomes from Nanopore long-read sequencing,bioinformatics,无参考的重建和纳米孔长阅读测序的转录组的定量
SlKIX8 and SlKIX9 are negative regulators of leaf and fruit growth in tomato,plant biology,slkix8和slkix9是番茄叶和水果生长的负调节剂
Mapping microglia and astrocytes activation in vivo using diffusion MRI,neuroscience,使用扩散MRI在体内映射小胶质细胞和星形胶质细胞激活
A cryptic pocket in Ebola VP35 allosterically controls RNA binding,biochemistry,埃博拉病毒VP35中的一个隐秘袋中的寄来者控制RNA结合
Pathogen community composition and co-infection patterns in a wild community of rodents,ecology,病原体社区的组成和共同感染模式
Parallel mechanisms of visual memory formation across distinct regions of the honey bee brain,animal behavior and cognition,蜂蜜蜜蜂大脑不同区域的视觉记忆形成的平行机制
SpliceViNCI: Visualizing the splicing of non-canonical introns through recurrent neural networks,bioinformatics,剪接：通过复发的神经网络可视化非典型内含子的剪接
Spatiotemporal control of cell cycle acceleration during axolotl spinal cord regeneration,systems biology,轴突再生期间细胞周期加速度的时空控制
Mobile Element Insertions and Associated Structural Variants in Longitudinal Breast Cancer Samples,genomics,纵向乳腺癌样品中的移动元件插入和相关的结构变异
Varicella-Zoster Virus ORF9 Is an Antagonist of the DNA Sensor cGAS,immunology,Varicella-Zoster病毒ORF9是DNA传感器CGA的拮抗剂
Measuring protected-area outcomes with leech iDNA: large-scale quantification of vertebrate biodiversity in Ailaoshan reserve,ecology,用水ech IDNA测量受保护的区域结果：ailaoshan储备中脊椎动物生物多样性的大规模量化
Profile-likelihood Bayesian model averaging for two-sample summary data Mendelian randomization in the presence of horizontal pleiotropy,genetics,在水平多效性的情况下，在二样本摘要数据的平均概述贝叶斯模型的贝叶斯模型平均
Biogeochemical variability in the California Current System,ecology,加利福尼亚当前系统的生物地球化学变异性
Modeling How Community Assembly Alters the Functioning of Ecosystems,ecology,建模社区组装如何改变生态系统的功能
Evaluation of high-resolution atmospheric and oceanic simulations of the California Current System,ecology,评估加利福尼亚当前系统的高分辨率大气和海洋模拟
A population-level invasion by transposable elements triggers genome expansion in a fungal pathogen,genomics,可转座元件的人群级入侵会触发真菌病原体中的基因组扩展
The Pebble/Rho1/Anillin pathway controls polyploidization and axonal wrapping activity in the glial cells of the Drosophila eye,developmental biology,卵石/rho1/anillin途径控制果蝇眼的神经胶质细胞中的多倍体化和轴突包裹活性
Predicting the retinotopic organization of human visual cortex from anatomy using geometric deep learning,neuroscience,使用几何深度学习预测解剖学的人类视觉皮层的视网膜组织
Epigenomic translocation of H3K4me3 broad domains over oncogenes following hijacking of super-enhancers,genomics,超级增强剂后，H3K4me3广泛域的表观基因组易位
Viral integration transforms chromatin to drive oncogenesis,cancer biology,病毒整合会使染色质转化为促进肿瘤发生
Host-induced gene silencing involves Arabidopsis ESCRT-III pathway for the transfer of dsRNA-derived siRNA,plant biology,宿主诱导的基因沉默涉及拟南芥III途径，用于传递DSRNA衍生的siRNA
Glycopeptide antibiotic teicoplanin inhibits cell entry of SARS-CoV-2 by suppressing the proteolytic activity of cathepsin L,microbiology,糖肽抗生素teicoplanin通过抑制组织蛋白酶L的蛋白水解活性来抑制SARS-COV-2的细胞进入
Macrophages transfer mitochondria to neurons to resolve inflammatory pain,neuroscience,巨噬细胞将线粒体转移到神经元以解决炎症性疼痛
Neu-p11 induces NLRP3 inflammasome-induced pyroptosis via provoking NOX4-mediated mitochondrial oxidative injury in chordoma cells,cancer biology,NEU-P11通过引起NOX4介导的线粒体氧化损伤引起NLRP3炎症体诱导的凋亡
Single exposure to social defeat or immobilization stress fails to induce lasting alterations in general anxiety and hippocampal neurogenesis in Wistar and wild-type Groningen rats,neuroscience,唯一的接触社会失败或固定压力无法引起Wistar和野生型Groningen大鼠的一般焦虑和海马神经发生的持久变化
Parallel processing of sensory cue and spatial information in the Dentate Gyrus,neuroscience,齿状回中感觉提示和空间信息的平行处理
Live cell imaging reveals that RecA finds homologous DNA by reduced dimensionality search,microbiology,活细胞成像揭示了RECA通过降低维度搜索发现同源DNA
Jointing analysis of scATAC-seq datasets using epiConv,bioinformatics,使用EpicONV对SCATAC-SEQ数据集进行了接合分析
ROS-triggered AMPK de-SUMOylation promotes Warburg effect in hepatocellular carcinoma cells,cancer biology,ROS触发的AMPK DE-Sumoylation促进了肝细胞癌细胞中的Warburg效应
Endocrine fine-tuning of daily locomotor activity patterns under non-starving conditions in Drosophila,neuroscience,在果蝇中非肢体运动条件下每日运动活动模式的内分泌微调微调
Extraembryonic endoderm cells induce neuroepithelial tissue in gastruloids,developmental biology,胚外内胚层细胞诱导胃类神经组织
Distinct regionalization patterns of cortical morphology are associated with cognitive performance across different domains,neuroscience,皮质形态的不同区域化模式与不同领域的认知表现有关
Spindle-slow oscillation coupling during sleep predicts sequence-based language learning,neuroscience,睡眠期间的主轴慢振荡耦合预测基于序列的语言学习
Deficits in Behavioral and Neuronal Pattern Separation in Temporal Lobe Epilepsy,neuroscience,颞叶癫痫中行为和神经元模式分离的缺陷
Autophagic degradation of the Cucumber mosaic virus virulence factor 2b balances antiviral RNA silencing with proviral plant fitness and virus seed transmission,plant biology,黄瓜马赛克病毒毒力因子2B的自噬降解抗病毒RNA沉默与前病毒植物适应性和病毒种子传播
Cell-cell communication through FGF4 generates and maintains robust proportions of differentiated cell types in embryonic stem cells,developmental biology,通过FGF4通过FGF4的细胞细胞通信产生并维持胚胎干细胞中分化细胞类型的强大比例
"High Sucrose Diets Contribute to Brain Angiopathy with Impaired Glucose Uptake, and Psychosis-related Higher Brain Dysfunctions in Mice",neuroscience,高蔗糖饮食会导致葡萄糖摄取受损的脑血管病，而小鼠与精神病相关的较高脑功能障碍
Model Reduction Tools For Phenomenological Modeling of Input-Controlled Biological Circuits,synthetic biology,用于输入控制生物电路的现象学建模的模型减少工具
Pou5f3 and Sox19b determine gene expression repertoire at Zygotic Genome Activation,developmental biology,pou5f3和sox19b确定在二元基因组激活下基因表达库
Distinct natural syllable-selective neuronal ensembles in the primary auditory cortex of awake marmosets,neuroscience,在醒着的果酱的主要听觉皮层中，独特的天然音节选择性神经元合奏
Eukaryotic rather than prokaryotic microbiomes change over seasons in rewetted fen peatlands,microbiology,真核生物而不是原核生物微生物组在恢复的peatland中发生变化
"Regulatory architecture of the RCA gene cluster captures an intragenic TAD boundary, CTCF-mediated chromatin looping and a long-range intergenic enhancer",genetics,RCA基因簇的调节结构捕获了基因内TAD边界，CTCF介导的染色质环和远程基因间增强剂
Common postzygotic mutational signature in multiple healthy adult tissues related to embryonic hypoxia,genetics,与胚胎缺氧有关
Trans-generational effect of protein restricted diet on adult body and wing size of Drosophila melanogaster,evolutionary biology,蛋白质限制饮食对成人身体的跨代作用和果蝇的翅膀大小
A predictive processing model of episodic memory and time perception,neuroscience,情节记忆和时间感知的预测处理模型
Synaptomic analysis of dopaminergic inputs reveal hub synapses in the mouse striatum.,neuroscience,多巴胺能输入的突触分析揭示了小鼠纹状体中的枢纽突触。
Renal tubule Cpt1a overexpression protects from kidney fibrosis by restoring mitochondrial homeostasis,biochemistry,肾小管CPT1A过表达可通过恢复线粒体稳态来保护肾脏纤维化
Recombination and lineage-specific mutations linked to the emergence of SARS-CoV-2,evolutionary biology,重组和谱系特异性突变与SARS-COV-2的出现有关
Altered patterning of interneuron progenitors in Down syndrome,developmental biology,改变唐氏综合症中神经元祖细胞的模式改变
Consilience and the Peripheral Sensory Adaptation Response,neuroscience,合伙性和外围感觉适应反应
Hand-reared wolves show attachment comparable to dogs and use human caregiver as a social buffer in the Strange Situation Test,animal behavior and cognition,手工rear的狼表现出与狗相当的依恋，并在奇怪的情况测试中使用人类照顾者作为社交缓冲区
Altered GABAergic inhibition in CA1 pyramidal neurons modifies despair-like behavior in mice,neuroscience,CA1锥体神经元中的GABA能抑制改变了小鼠的绝望行为
Spatial maps in olfactory cortex during olfactory navigation,neuroscience,嗅觉导航期间嗅皮层中的空间图
Trait plasticity and covariance along a continuous soil moisture gradient,plant biology,沿连续的土壤水分梯度的特质塑性和协方差
Spatial segregation and cooperation in radially expanding microbial colonies under antibiotic stress,microbiology,在抗生素应激下径向扩展的微生物菌落中的空间隔离与合作
