sentences,labels,sentences_zh
Global mammalian zooregions reveal a signal of past human impacts,ecology,全球哺乳动物Zooregions揭示了过去人类影响的信号
Recovery of trait heritability from whole genome sequence data,genetics,从整个基因组序列数据中恢复性状遗传力
The PIWI/piRNA response is relaxed in a rodent that lacks mobilizing transposable elements,evolutionary biology,piwi/piRNA响应在缺乏动员转座元件的啮齿动物中放松
Mammalian mitochondrial mutational spectrum as a hallmark of cellular and organismal aging.,genomics,哺乳动物线粒体突变光谱是细胞和生物衰老的标志。
"Familiar neighbours, but not relatives, enhance fitness in a territorial mammal",evolutionary biology,熟悉的邻居，但不是亲戚，可以增强领土哺乳动物的健康状况
The degree of polymerization and sulfation patterns in heparan sulfate are critical determinants of cytomegalovirus entry into host cells,microbiology,硫酸乙酰肝素的聚合和硫酸化模式的程度是巨细胞病毒进入宿主细胞的关键决定因素
Library Preparation and Sequencing Platform Introduce Bias in Metagenomic-Based Characterizations of Microbiomes,microbiology,图书馆的准备和测序平台引入了基于元基因组的微生物特征的偏见
Phylogenetic inference of changes in amino acid propensities with single-position resolution,evolutionary biology,单位分辨率的氨基酸倾斜度变化的系统发育推断
Extensive genetic mixing within the clam genus Corbicula,evolutionary biology,蛤corbicula中的广泛遗传混合
Rate-limiting transport of positive charges through the Sec-machinery is integral to the mechanism of protein transport,biochemistry,正电荷通过SEC机制的限速运输是蛋白质传输机制的组成部分
Single cell transcriptomics identifies master regulators of dysfunctional pathways in SOD1 ALS motor neurons,genomics,单细胞转录组学识别SOD1 ALS运动神经元中功能失调途径的主调节剂
Population receptive fields of human primary visual cortex organised as DC-balanced bandpass filters.,neuroscience,人类原发性皮层的种群接受场，作为DC平衡带通滤波器组织。
CRISPR-SID: identifying EZH2 as a druggable target for desmoid tumors via in vivo dependency mapping,cancer biology,CRISPR-SID：通过体内依赖性映射将EZH2识别为脱乳突肿瘤的可药物靶标
OpenAnnotate: a web server to annotate the chromatin accessibility of genomic regions,bioinformatics,OpenAnnotate：一个用于注释基因组区域染色质可及性的Web服务器
Rapid label-free identification of pathogenic bacteria species from a minute quantity 1 exploiting three-dimensional quantitative phase imaging and artificial neural network,microbiology,从微量数量1利用三维定量相成像和人工神经网络的病原细菌物种的快速无标记鉴定
Quality control of large genome datasets using genome fingerprints,genomics,使用基因组指纹对大基因组数据集的质量控制
Tumor-targeted delivery of childhood vaccine recall antigens by attenuated Listeria reduces pancreatic cancer,immunology,以肿瘤为目标的儿童疫苗通过减毒李斯特菌的抗原减少胰腺癌
Heterologous Cas9 and non-homologous end joining as a Potentially Organism-Agnostic Knockout (POAK) system in bacteria,synthetic biology,在细菌中成为潜在的生物敏捷敲除（POAK）系统的异源CAS9和非同源末端
Heterochromatin renewal after release from growth arrest controls genome-wide transcription re-activation in S.cerevisiae,molecular biology,从生长停滞对照中释放后的杂染色质更新在整个基因组的转录重新激活中，
MetaNovo: a probabilistic approach to peptide discovery in complex mass spectrometry datasets,bioinformatics,Metanovo：在复杂质谱数据集中发现肽发现的概率方法
An Integrated Platform for High-Throughput Nanoscopy,biophysics,高通量纳米镜检查的集成平台
Inter-subunit coupling enables fast CO2-fixation by reductive carboxylases,biophysics,亚基间耦合可以通过还原羧酸酶实现快速的二氧化碳固定
Network science inspires novel tree shape statistics,bioinformatics,网络科学启发了新颖的树形统计
"A suite of rare microbes interacts with a dominant, heritable, fungal endophyte to influence plant trait expression",ecology,一套稀有微生物与主导，可遗传的真菌内生菌相互作用，以影响植物特征表达
Stabilising effects of competition and diversity determine vaccine impact on antibiotic resistance evolution,evolutionary biology,竞争和多样性的稳定作用决定疫苗对抗生素耐药性演化的影响
Reward motivation increases univariate activity but has limited effect on coding of task-relevant information across the frontoparietal cortex,neuroscience,奖励动机增加了单变量活动，但对整个额叶皮层的任务相关信息的编码影响有限
Reference plasmid pHXB2_D is an HIV-1 molecular clone that exhibits identical LTRs and a single integration site indicative of an HIV provirus,genomics,参考质粒PHXB2_D是一种HIV-1分子克隆
Coupling Metastasis to pH-Sensing GPR68 Using a Novel Small Molecule Inhibitor,cancer biology,使用一种新型的小分子抑制剂将转移耦合到pH传感GPR68
Untangling the Indonesian tangle net fishery: describing a data-poor fishery targeting large threatened rays (Order Batoidea),zoology,解开印尼缠结网渔业：描述针对大型威胁射线的数据贫困渔业（batoidea订购）
"On the efficacy of restoration in stream networks: comments, critiques, and prospective recommendations",ecology,关于流网络中恢复的功效：评论，批评和前瞻性建议
Integrase-mediated differentiation circuits improve evolutionary stability of burdensome and toxic functions in E. coli,synthetic biology,集成酶介导的分化回路改善了大肠杆菌中繁重和有毒功能的进化稳定性
Regulatory network-based imputation of dropouts in single-cell RNA sequencing data,bioinformatics,单细胞RNA测序数据中的基于监管网络的插入
Resistance to aztreonam in combination with non-β-lactam β-lactamase inhibitors due to the layering of mechanisms in Escherichia coli identified following mixed culture selection.,microbiology,由于在混合培养选择后鉴定出的大肠杆菌中的机制分层，因此对aztreonam的耐药性与非β-内酰胺β-内酰胺酶抑制剂结合使用。
Attention Decorrelates Sensory and Motor Signals in the Mouse Visual Cortex,neuroscience,注意力使鼠标视觉皮层中的感觉和运动信号脱离
A developmental framework linking neurogenesis and circuit formation in the Drosophila CNS,neuroscience,果蝇中心的神经发生和电路形成的发展框架
"Fitness-related traits are maximized in recently introduced, slow-growing populations of an invasive clam: is this a response to strong r-selection?",ecology,在最近引入的侵入性蛤的缓慢增长的种群中，与适应性相关的特征最大化：这是对强R-sealection的反应吗？
O-glycosylation regulates plant developmental transitions downstream of miR156,plant biology,O-糖基化调节MiR156下游的植物发育过渡
An Optimized Registration Workflow and Standard Geometric Space for Small Animal Brain Imaging,neuroscience,小型动物脑成像的优化注册工作流和标准几何空间
Uncovering the effects of Müllerian mimicry on the evolution of conspicuousness in colour patterns,evolutionary biology,揭示穆勒模仿对颜色模式显着性演变的影响
"On the cortical mapping function -- visual space, cortical space, and crowding",neuroscience,在皮质映射功能上 - 视觉空间，皮质空间和拥挤
Memory for Individual Items is Related to Non-Reinforced Preference Change,neuroscience,单个项目的记忆与非增强偏好更改有关
Predation strategies of the bacterium Bdellovibrio bacteriovorus result in overexploitation and bottlenecks,microbiology,细菌bdellovibrio细菌的捕食策略导致过度开发和瓶颈
In the absence of reproductive isolation - Extensive gene flow after speciation,evolutionary biology,在没有生殖隔离的情况下 - 物种形成后的广泛基因流
tRNAscan-SE 2.0: Improved Detection and Functional Classification of Transfer RNA Genes,bioinformatics,trnascan-se 2.0：改进的转移RNA基因的检测和功能分类
The neuronal calcium sensor Synaptotagmin-1 and SNARE proteins cooperate to dilate fusion pores,biophysics,神经元钙传感器Synaptotagmin-1和SNARE蛋白合作以扩张融合孔
Low centrosome numbers correlate with higher aggressivity in ovarian cancer,cancer biology,低中心体数与卵巢癌的侵略性较高相关
Protein and Lipid Mass Concentration Measurement in Tissues by Stimulated Raman Scattering Microscopy,bioengineering,通过刺激的拉曼散射显微镜在组织中蛋白质和脂质质量浓度测量
Cholinergic modulation of dentate gyrus processing through dynamic reconfiguration of inhibitory circuits,neuroscience,通过抑制回路的动态重新配置，齿状回处理的胆碱能调节
Estimation of biodiversity metrics by environmental DNA metabarcoding compared with visual and capture surveys of river fish communities,ecology,与河鱼社区的视觉和捕获调查相比
Complex community-wide consequences of consumer sexual dimorphism,ecology,消费者性二态性的复杂社区范围内的后果
The regenerating skeletal muscle niche guides muscle stem cell self-renewal,cell biology,再生的骨骼肌小众指导肌肉干细胞自我更新
Synthetic design of farnesyl-electrostatic peptides for development of a protein kinase A membrane translocation switch,cell biology,Farnesyl-电抑制肽的合成设计用于开发蛋白激酶A膜易位开关
First report of marine sponge Chelonaplysilla delicata (Demospongiae: Darwinellidae) from the Andaman Sea/Indian Ocean with a baseline information of epifauna on a mesophotic shipwreck,ecology,来自安达曼海/印度洋的海洋海绵Chelonaplysilla Delicata（Demospongiae：Darwinellidae）的首次报道，并在中间的沉船上提供Epifauna的基线信息
Quantitative analysis of ZFY and CTCF reveals dependent recognition of tandem zinc finger proteins.,genetics,ZFY和CTCF的定量分析揭示了对串联锌指蛋白的依赖识别。
Gene-experience correlation during cognitive development: Evidence from the Adolescent Brain Cognitive Development (ABCD) StudySM,neuroscience,认知发展过程中的基因体验相关性：青少年脑认知发展（ABCD）StudySM的证据
Role of Water-bridged Interactions in Metal Ion Coupled Protein Allostery,biochemistry,水桥相互作用在金属离子偶联蛋白变构中的作用
An automated model reduction tool to guide the design and analysis of synthetic biological circuits,synthetic biology,自动模型减少工具，用于指导合成生物电路的设计和分析
Metacognitive awareness of difficulty in action selection: the role of the cingulo-opercular network,neuroscience,元认知意识在选择方面的难度：Cingulo-obercular网络的作用
"An optimized tissue clearing protocol for rat brain labeling, imaging, and high throughput analysis",neuroscience,大鼠脑标记，成像和高通量分析的优化组织清除方案
Increasing plant group productivity through latent genetic variation for cooperation,plant biology,通过合作的潜在遗传变异提高植物群的生产率
Muscle torques provide more sensitive measures of post-stroke movement deficits than joint angles.,neuroscience,与关节角度相比，肌肉扭矩提供了势后运动缺陷的敏感度量。
Influenza-specific effector memory B cells predict long-lived antibody responses to vaccination in humans,immunology,流感特异性效应子记忆B细胞预测人类疫苗接种的长寿命抗体反应
Mutators drive evolution of multi-resistance to antibiotics,evolutionary biology,突变器驱动抗生素多抗性的演变
A Hessian-based decomposition characterizes how performance in complex motor skills depends on individual strategy and variability,neuroscience,基于黑森的分解表征了复杂运动技能中的性能如何取决于个人策略和可变性
Comparing statistical and mechanistic models to identify the drivers of mortality within a rear-edge beech population,ecology,比较统计和机械模型，以识别后边缘人群中死亡率的驱动力
Deconstructing taxa x taxa x environment interactions in the microbiota: A theoretical examination,ecology,解构分类X分类X分类X环境相互作用在微生物群中：理论检查
Damped oscillations of the probability of random events followed by absolute refractory period: exact analytical results,neuroscience,随机事件的概率的阻尼振荡，然后是绝对耐火周期：精确的分析结果
Estimations of the weather effects on brain functions using functional MRI: a cautionary note,neuroscience,使用功能性MRI估算天气对大脑功能的影响：警告说明
Secondary Structure Motifs Made Searchable to Facilitate the Functional Peptide Design,bioinformatics,辅助结构图案可搜索以促进功能性肽设计
Mitigating biomass composition uncertainties in flux balance analysis using ensemble representations,systems biology,使用集合表示，在通量平衡分析中缓解生物量组成不确定性
Molecular Determinants of μ-Conotoxin KIIIA interaction with the Voltage-Gated Sodium Channel Nav1.7,biophysics,与电压门控钠通道NAV1.7的μ-持续毒素kiiiA相互作用的分子决定因素
Deep learning does not outperform classical machine learning for cell-type annotation,bioinformatics,深度学习不能超过细胞类型注释的经典机器学习
Regulatory regions in natural transposable element insertions drive interindividual differences in response to immune challenges in Drosophila,evolutionary biology,自然可替元插入中的调节区域驱动果蝇免疫挑战的互生差异
Neural pathways linking hypoxia with pectoral fin movements in Danio rerio,neuroscience,Danio Rerio中缺氧与胸鳍运动联系起来的神经途径
Re-treatment with direct-acting antivirals policy is needed to eliminate Hepatitis C among persons who inject drugs,epidemiology,需要对直接作用抗病毒药政策进行重新治疗，以消除注射毒品的人中的丙型肝炎
Amyloid-β induced membrane damage instigates tunneling nanotubes by exploiting PAK1 dependent actin remodulation,cell biology,淀粉样蛋白β诱导的膜损伤通过利用PAK1依赖性肌动蛋白的重塑来激发隧穿纳米管
Universal latent axes capturing Parkinson's patient deep phenotypic variation reveals patients with a high genetic risk for Alzheimer's disease are more likely to develop a more aggressive form of Parkinson's.,neuroscience,捕获帕金森患者深层表型变异的通用潜在轴揭示了患阿尔茨海默氏病遗传风险高的患者更有可能发展出更具侵略性的帕金森氏症。
Oxazepam and cognitive reappraisal: a randomised experiment,neuroscience,奥沙西m和认知重新评估：一个随机实验
Systematic detection of brain protein-coding genes under positive selection during primate evolution and their roles in cognition,genetics,在灵长类动物进化过程中选择阳性选择的脑蛋白编码基因的系统检测及其在认知中的作用
Simplified high-throughput methods for deep proteome analysis on the timsTOF Pro,biochemistry,简化的高通量方法，用于对TIMSTOF PRO的深度蛋白质组分析
From spikes to intercellular waves: tuning intercellular Ca2+ signaling dynamics modulates organ size control,systems biology,从尖峰到细胞间波：调整细胞间CA2+信号传导动力学调节器官尺寸控制
Dynamic pneumococcal genetic adaptations support bacterial growth and inflammation during coinfection with influenza,microbiology,动态肺炎球菌遗传适应支持细菌生长和与流感共同感染期间的细菌生长和炎症
Whole body regeneration deploys a rewired embryonic gene regulatory network logic,developmental biology,整个身体再生部署了一个重新接线的胚胎基因调节网络逻辑
Eating in a losing cause: limited benefit of modified macronutrient consumption following infection in the oriental cockroach Blatta orientalis,ecology,在失败的原因中进食：在东方蟑螂东方的感染后修饰的大量营养素消耗的有限益处有限
Temozolomide-induced guanine mutations create exploitable vulnerabilities of guanine-rich DNA and RNA regions in drug resistant gliomas,cancer biology,替莫唑胺引起的鸟嘌呤突变会在耐药性神经胶质瘤中产生富含鸟嘌呤的DNA和RNA区域的可利用脆弱性
Analysis of meiosis in Pristionchus pacificus reveals plasticity in homolog pairing and synapsis in the nematode lineage,cell biology,Pristionchus Pacificus中减数分裂的分析揭示了同源物配对和突触中的可塑性
Invariant Object Representation Based on Principle of Maximum Dependence Capturing,neuroscience,基于最大依赖捕获原理的不变对象表示
Staufen blocks autophagy in neurodegeneration,neuroscience,Staufen在神经退行性中阻止自噬
The drug-induced phenotypic landscape of colorectal cancer organoids,genomics,药物诱导的结直肠癌类器官的表型景观
iNetModels 2.0: an interactive visualization and database of multi-omics data,bioinformatics,InetModels 2.0：多摩变数据的交互式可视化和数据库
Pervasive Translation in Mycobacterium tuberculosis,microbiology,结核分枝杆菌的普遍翻译
A simple pressure-assisted method for MicroED specimen preparation,molecular biology,微型标本制备的简单压力辅助方法
Tipping-point analysis uncovers critical transition signals from gene expression profiles,systems biology,小费点分析从基因表达曲线中发现临界过渡信号
The organizer of chromatin topology RIF1 ensures cellular resilience to DNA replication stress.,cell biology,染色质拓扑的组织者RIF1确保细胞对DNA复制应力的弹性。
Independent population coding of the past and the present in prefrontal cortex during learning,neuroscience,学习期间的过去和现在的独立人口编码
Compensating for a shifting world: evolving reference frames of visual and auditory signals across three multimodal brain areas,neuroscience,补偿一个不断变化的世界：在三个多模式大脑区域的视觉和听觉信号的不断发展的参考帧
DREAM Interrupted: Severing LIN-35-MuvB association in Caenorhabditis elegans impairs DREAM function but not its chromatin localization,molecular biology,梦想中断：秀丽隐杆线虫中断断续续的LIN-35-MUVB协会会破坏梦想功能，但不会造成其染色质定位
Agonist-independent Prostaglandin EP3 Receptor signaling is required to prevent insulin hypersecretion and metabolic dysfunction in a non-obese mouse model of insulin resistance,physiology,需要与激动剂独立的前列腺素EP3受体信号传导，以防止胰岛素抵抗的非肥胖小鼠模型中的胰岛素过度分泌和代谢功能障碍
Curiosity eliminates the exploration-exploitation dilemma,animal behavior and cognition,好奇心消除了探索 - 诠释困境
Histopathological Study Of Different Organs Of Charles Foster Rats Under The Exposure Of Pueraria tuberosa,pharmacology and toxicology,在pueraria tuberosa暴露下，查尔斯·福斯特大鼠不同器官的组织病理学研究
Modeling and Characterization of Inter-Individual Variability in CD8 T Cell Responses in Mice,immunology,小鼠CD8 T细胞反应中个体间变异性的建模和表征
Binned Relative Environmental Change Indicator (BRECI): A tool to communicate the nature of differences between environmental niche model outputs,ecology,bined相对环境变化指标（BRECI）：一种传达环境利基模型输出之间差异性质的工具
Easy Kinetics: a novel enzyme kinetic characterization software,biochemistry,易于动力学：一种新型的酶动力学特征软件
Subtype-specific and co-occurring genetic alterations in B-cell non-Hodgkin lymphoma,genomics,B细胞非霍奇金淋巴瘤中亚型特异性和同时发生的遗传改变
Single EGF mutants unravel the mechanism for stabilization of Epidermal Growth Factor Receptor (EGFR) system,bioinformatics,单个EGF突变体阐明表皮生长因子受体（EGFR）系统稳定机制
Intramolecular Communication and Allosteric Sites in Enzymes Unraveled by Time-Dependent Linear Response Theory,biophysics,分子内通信和酶中的变构位点，由时间依赖性线性响应理论揭示
Reproducible microbial community dynamics of two drinking water systems treating similar source waters.,microbiology,两个饮用水系统的可重复的微生物群落动力学处理相似的源水。
"Accurate, ultra-low coverage genome reconstruction and association studies in Hybrid Swarm mapping populations",genetics,精确的，超低的覆盖范围基因组重建和杂交群映射种群中的关联研究
Artisanal and farmers bread making practices differently shape fungal species diversity in French sourdoughs,ecology,手工和农民的面包制作实践对法国酸面团的真菌种类多样性的影响不同
Estimation of Speciation Times Under the Multispecies Coalescent,evolutionary biology,估计多物种合并下的物种时间
Formation of synthetic RNP granules using engineered phage-coat-protein -RNA complexes,biophysics,使用工程噬菌体 - 涂蛋白-RNA复合物形成合成RNP颗粒
Complement C3 and C3aR mediate different aspects of emotional behaviours; relevance to risk for psychiatric disorder,neuroscience,补充C3和C3AR介导情绪行为的不同方面；与精神障碍的风险有关
Deconvoluting signals downstream of growth and immune receptor kinases by phosphocodes of the BSU1 family phosphatases,plant biology,BSU1家族磷酸酶的磷化物酶的生长和免疫受体激酶下游的反应信号
The whale shark genome reveals patterns of vertebrate gene family evolution,genomics,鲸鲨基因组揭示了脊椎动物基因家族进化的模式
CHD4-NURD controls mouse neonate spermatogonia survival,developmental biology,CHD4-NURD控制小鼠新生儿精子生存
MERTK on mononuclear phagocytes regulates T cell antigen recognition at autoimmune and tumor sites,immunology,单核吞噬细胞上的MERTK调节自身免疫部位和肿瘤部位的T细胞抗原识别
Label-retention expansion microscopy,bioengineering,标签 - 保留膨胀显微镜
A novel metric reveals previously unrecognized distortion in dimensionality reduction of scRNA-Seq data,bioinformatics,一个新的度量标准揭示了先前无法识别的降低scrna-seq数据的失真
Epithelial-Mesenchymal Plasticity is regulated by inflammatory signalling networks coupled to cell morphology.,systems biology,上皮 - 间质可塑性受炎症信号网络与细胞形态耦合的调节。
A minimal model of neural computation with dendritic plateau potentials.,neuroscience,具有树突状平台电位的神经计算模型的最小模型。
A Mendelian randomization study of the role of lipoprotein subfractions in coronary artery disease,genetics,Mendelian随机研究脂蛋白亚构件在冠状动脉疾病中的作用
DNA end-resection in highly accessible chromatin produces a toxic break,cell biology,高度可访问的染色质中的DNA终端切除会产生有毒的断裂
Mechanics of MTOC clustering and spindle positioning in budding yeast Cryptococcus neoformans,biophysics,MTOC聚类和主轴定位的机制
Colicin E1 binds to TolC as an open hinge to penetrate the outer-membrane,biophysics,结菌素E1与TOLC结合为开放铰链以穿透外膜
Aquatic biodiversity enhances multiple nutritional benefits to humans,ecology,水生生物多样性增强了对人类的多种营养益处
ORP5/8 AND MIB/MICOS LINK ER-MITOCHONDRIA AND INTRAMITOCHONDRIAL CONTACTS FOR NON-VESICULAR TRANSPORT OF PHOSPHATIDYLSERINE,cell biology,ORP5/8和MIB/MICOS LINK ER-LOCHOCHIAS和INTOCHRIAL触点，用于非挥发性转运磷脂酰丝氨酸
From heterogenous morphogenetic fields to homogeneous regions as a step towards understanding complex tissue dynamics,developmental biology,从异源形态发生场到均相区域，作为了解复杂组织动力学的一步
ReCappable Seq: Comprehensive Determination of Transcription Start Sites derived from all RNA polymerases.,genomics,可移植SEQ：从所有RNA聚合酶得出的转录起始位点的全面确定。
Estimates of genetic load suggest frequent purging of deleterious alleles in small populations,genomics,遗传负荷的估计表明，在小种群中经常清除有害等位基因
Mapping Transcriptomic Vector Fields of Single Cells,systems biology,映射单细胞的转录组矢量场
Genomic and experimental evidence that alternate transcription initiation of the Anaplastic Lymphoma Kinase (ALK) kinase domain does not predict single agent sensitivity to ALK inhibitors.,bioengineering,基因组和实验证据表明，对变体淋巴瘤激酶（ALK）激酶结构域交替进行转录启动不会预测单一剂对ALK抑制剂的敏感性。
Blood meal analysis of tsetse flies (Glossina pallidipes: Glossinidae) reveals higher host fidelity on wild compared with domestic hosts,evolutionary biology,与家用寄主相比
"Evidence for a deep, distributed and dynamic semantic code in human ventral anterior temporal cortex",neuroscience,人腹前颞皮层中深，分布和动态语义代码的证据
Perifornical Area Urocortin-3 Neurons Promote Infant-directed Neglect and Aggression,neuroscience,肌肉区域泌尿科素-3神经元促进婴儿指导的忽视和侵略性
Eye morphogenesis in the blind Mexican cavefish,developmental biology,墨西哥山洞的眼睛形态发生
Mast seeding promotes evolution of scatter-hoarding,ecology,桅杆播种可促进散射的演变
Comparative evaluation of full-length isoform quantification from RNA-Seq,bioinformatics,RNA-Seq的全长同工型定量的比较评估
"Genetic basis of growth, phenology and susceptibility to biotic stressors in maritime pine",genetics,海洋松树中生长，物候学和对生物胁迫源的易感性的遗传基础
"Normalization by Valence and Motivational Intensity in the Primary Sensorimotor Cortices (PMd, M1 and S1)",neuroscience,一级感觉运动皮层（PMD，M1和S1）的价和动机强度的标准化
Reconstructing contact network structure andcross-immunity patterns from multiple infection histories,ecology,重建来自多个感染历史的接触网络结构和交叉免疫模式
Dynamic Ins2 gene activity defines β cell maturity states,cell biology,动态INS2基因活性定义了β细胞成熟态
Immune-based mutation classification enables neoantigen prioritization and immune feature discovery in cancer immunotherapy,cancer biology,基于免疫的突变分类可实现癌症免疫疗法的新抗原优先次序和免疫特征发现
The relative impact of evolving pleiotropy and mutational correlation on trait divergence,evolutionary biology,不断发展的多效性和突变相关性对性状差异的相对影响
Inferring genome-wide correlations of mutation fitness effects between populations,evolutionary biology,推断人群之间突变适应性效应的全基因组相关性
"Analysis of the Human Connectome Data Supports the Notion of a ""Common Model of Cognition"" for Human and Human-Like Intelligence",neuroscience,人类连接数据的分析支持人类和人类智力的“常见认知模型”的概念
Comparison of CPU and GPU Bayesian Estimates of Fibre Orientations from Diffusion MRI,neuroscience,比较CPU和GPU贝叶斯从扩散MRI的纤维取向的估计值
Adult dentate gyrus neurogenesis: a functional model,neuroscience,成人齿状回神经发生：功能模型
The functional connectivity of the human claustrum according to the Human Connectome Project database,neuroscience,根据人类Connectome项目数据库
Reactive oxygen species prevent lysosome coalescence during PIKfyve inhibition,cell biology,活性氧气可预防pikfyve抑制期间溶酶体聚集
Crystal structure of Sulfolobus solfataricus topoisomerase III reveals a novel carboxyl-terminal zinc finger domain essential for decatenation activity,microbiology,磺胺溶液的晶体结构拓扑异构酶III揭示了一种新型的羧基 - 末端锌指域对于衰减活性必不可少的
Lignin-based resistance to Cuscuta campestris parasitism in Heinz resistant tomato cultivars,plant biology,基于木质素的抗抗碳木campestris寄生虫在亨氏抗性番茄品种中的抗性
CT-FOCS: a novel method for inferring cell type-specific enhancer-promoter maps,bioinformatics,CT-FOCS：一种推断细胞类型特异性增强器促销图的新方法
Apple ripening is controlled by a NAC transcription factor,plant biology,苹果成熟由NAC转录因子控制
Minor deviations from randomness have huge repercussions on the functional structuring of sequence space,evolutionary biology,与随机性的微小偏差对序列空间的功能结构产生巨大影响
A neuromechanical model of multiple network rhythmic pattern generators for forward locomotion in C. elegans,neuroscience,多个网络节奏模式发生器的神经力学模型，用于秀丽隐杆线虫的前向运动
Energy landscape analysis elucidates the multistability of ecological communities across environmental gradients,ecology,能源景观分析阐明了跨环境梯度的生态社区的多稳定性
The Gut Microbiome of Exudivorous Wild and non-Wild Marmosets,microbiology,渗透性野生和非野马的肠道微生物组
Shared genetic underpinnings between genetic generalized epilepsy and background EEG oscillations,genetics,遗传性癫痫与背景脑振荡之间共有的遗传基础
Implicit visuomotor adaptation remains limited after several days of training,neuroscience,经过几天的培训，隐式视觉运动适应仍有限制
Sub-sampling of cues in associative learning,animal behavior and cognition,协会学习中提示的子采样
Aerobic methoxydotrophy: growth on methoxylated aromatic compounds by Methylobacterium,microbiology,有氧甲氧营养：甲基化芳基化合物的甲基化芳基杆菌生长
Genomic phylogeography of the White-crowned Manakin  Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes,evolutionary biology,白冠Manakin Pseudopipra Pipra（Aves：pipridae）的基因组植物地理学从安第斯山脉中照亮了大陆尺度的辐射
